#    L    TT             EE             TE             PP             TP          
    97    0.36371E+04    0.91840E+00   -0.28760E+02    0.41031E+07    0.83045E+04
    98    0.36811E+04    0.93746E+00   -0.29627E+02    0.40738E+07    0.82164E+04
    99    0.37251E+04    0.95636E+00   -0.30497E+02    0.40447E+07    0.81298E+04
   100    0.37696E+04    0.97509E+00   -0.31366E+02    0.40158E+07    0.80447E+04
   101    0.38142E+04    0.99371E+00   -0.32238E+02    0.39872E+07    0.79611E+04
   102    0.38595E+04    0.10121E+01   -0.33109E+02    0.39587E+07    0.78788E+04
   103    0.39046E+04    0.10302E+01   -0.33981E+02    0.39304E+07    0.77979E+04
   104    0.39501E+04    0.10482E+01   -0.34850E+02    0.39024E+07    0.77184E+04
   105    0.39958E+04    0.10659E+01   -0.35717E+02    0.38745E+07    0.76401E+04
   106    0.40417E+04    0.10834E+01   -0.36582E+02    0.38469E+07    0.75632E+04
   107    0.40876E+04    0.11005E+01   -0.37443E+02    0.38195E+07    0.74875E+04
   108    0.41339E+04    0.11174E+01   -0.38300E+02    0.37922E+07    0.74130E+04
   109    0.41804E+04    0.11339E+01   -0.39152E+02    0.37652E+07    0.73397E+04
   110    0.42270E+04    0.11500E+01   -0.39998E+02    0.37384E+07    0.72675E+04
   111    0.42738E+04    0.11658E+01   -0.40838E+02    0.37119E+07    0.71965E+04
   112    0.43208E+04    0.11812E+01   -0.41671E+02    0.36855E+07    0.71265E+04
   113    0.43681E+04    0.11962E+01   -0.42497E+02    0.36593E+07    0.70576E+04
   114    0.44154E+04    0.12108E+01   -0.43314E+02    0.36334E+07    0.69897E+04
   115    0.44631E+04    0.12251E+01   -0.44121E+02    0.36077E+07    0.69228E+04
   116    0.45107E+04    0.12388E+01   -0.44919E+02    0.35822E+07    0.68569E+04
   117    0.45587E+04    0.12521E+01   -0.45705E+02    0.35569E+07    0.67919E+04
   118    0.46069E+04    0.12650E+01   -0.46482E+02    0.35319E+07    0.67279E+04
   119    0.46551E+04    0.12775E+01   -0.47245E+02    0.35070E+07    0.66647E+04
   120    0.47035E+04    0.12893E+01   -0.47995E+02    0.34824E+07    0.66025E+04
   121    0.47519E+04    0.13008E+01   -0.48732E+02    0.34580E+07    0.65411E+04
   122    0.48003E+04    0.13117E+01   -0.49454E+02    0.34338E+07    0.64805E+04
   123    0.48489E+04    0.13220E+01   -0.50162E+02    0.34098E+07    0.64208E+04
   124    0.48976E+04    0.13318E+01   -0.50852E+02    0.33860E+07    0.63619E+04
   125    0.49462E+04    0.13411E+01   -0.51527E+02    0.33624E+07    0.63037E+04
   126    0.49949E+04    0.13499E+01   -0.52184E+02    0.33390E+07    0.62463E+04
   127    0.50437E+04    0.13580E+01   -0.52825E+02    0.33159E+07    0.61897E+04
   128    0.50924E+04    0.13656E+01   -0.53446E+02    0.32929E+07    0.61338E+04
   129    0.51412E+04    0.13726E+01   -0.54048E+02    0.32702E+07    0.60786E+04
   130    0.51900E+04    0.13790E+01   -0.54630E+02    0.32476E+07    0.60241E+04
   131    0.52388E+04    0.13848E+01   -0.55192E+02    0.32253E+07    0.59702E+04
   132    0.52876E+04    0.13900E+01   -0.55732E+02    0.32032E+07    0.59170E+04
   133    0.53363E+04    0.13946E+01   -0.56252E+02    0.31813E+07    0.58644E+04
   134    0.53851E+04    0.13987E+01   -0.56747E+02    0.31595E+07    0.58124E+04
   135    0.54338E+04    0.14020E+01   -0.57219E+02    0.31380E+07    0.57611E+04
   136    0.54823E+04    0.14048E+01   -0.57666E+02    0.31167E+07    0.57103E+04
   137    0.55308E+04    0.14069E+01   -0.58089E+02    0.30955E+07    0.56602E+04
   138    0.55792E+04    0.14084E+01   -0.58487E+02    0.30746E+07    0.56106E+04
   139    0.56274E+04    0.14094E+01   -0.58859E+02    0.30539E+07    0.55616E+04
   140    0.56756E+04    0.14097E+01   -0.59205E+02    0.30333E+07    0.55132E+04
   141    0.57235E+04    0.14093E+01   -0.59523E+02    0.30130E+07    0.54653E+04
   142    0.57714E+04    0.14084E+01   -0.59814E+02    0.29928E+07    0.54179E+04
   143    0.58192E+04    0.14068E+01   -0.60078E+02    0.29728E+07    0.53711E+04
   144    0.58668E+04    0.14047E+01   -0.60313E+02    0.29530E+07    0.53248E+04
   145    0.59141E+04    0.14020E+01   -0.60519E+02    0.29334E+07    0.52790E+04
   146    0.59615E+04    0.13986E+01   -0.60697E+02    0.29140E+07    0.52337E+04
   147    0.60084E+04    0.13947E+01   -0.60843E+02    0.28947E+07    0.51889E+04
   148    0.60552E+04    0.13901E+01   -0.60960E+02    0.28757E+07    0.51446E+04
   149    0.61019E+04    0.13850E+01   -0.61045E+02    0.28568E+07    0.51007E+04
   150    0.61482E+04    0.13794E+01   -0.61098E+02    0.28381E+07    0.50573E+04
   151    0.61943E+04    0.13732E+01   -0.61120E+02    0.28196E+07    0.50144E+04
   152    0.62400E+04    0.13663E+01   -0.61109E+02    0.28012E+07    0.49719E+04
   153    0.62855E+04    0.13590E+01   -0.61065E+02    0.27831E+07    0.49298E+04
   154    0.63307E+04    0.13513E+01   -0.60987E+02    0.27650E+07    0.48882E+04
   155    0.63756E+04    0.13430E+01   -0.60877E+02    0.27472E+07    0.48470E+04
   156    0.64200E+04    0.13343E+01   -0.60733E+02    0.27296E+07    0.48063E+04
   157    0.64643E+04    0.13251E+01   -0.60554E+02    0.27121E+07    0.47659E+04
   158    0.65082E+04    0.13155E+01   -0.60341E+02    0.26947E+07    0.47260E+04
   159    0.65516E+04    0.13055E+01   -0.60093E+02    0.26776E+07    0.46864E+04
   160    0.65947E+04    0.12950E+01   -0.59809E+02    0.26606E+07    0.46473E+04
   161    0.66375E+04    0.12843E+01   -0.59491E+02    0.26437E+07    0.46085E+04
   162    0.66799E+04    0.12731E+01   -0.59137E+02    0.26270E+07    0.45701E+04
   163    0.67219E+04    0.12615E+01   -0.58747E+02    0.26105E+07    0.45321E+04
   164    0.67634E+04    0.12497E+01   -0.58322E+02    0.25942E+07    0.44945E+04
   165    0.68046E+04    0.12375E+01   -0.57859E+02    0.25780E+07    0.44572E+04
   166    0.68453E+04    0.12252E+01   -0.57360E+02    0.25619E+07    0.44203E+04
   167    0.68857E+04    0.12124E+01   -0.56826E+02    0.25460E+07    0.43837E+04
   168    0.69255E+04    0.11996E+01   -0.56254E+02    0.25303E+07    0.43475E+04
   169    0.69648E+04    0.11865E+01   -0.55644E+02    0.25146E+07    0.43116E+04
   170    0.70036E+04    0.11733E+01   -0.54998E+02    0.24992E+07    0.42760E+04
   171    0.70419E+04    0.11600E+01   -0.54314E+02    0.24839E+07    0.42408E+04
   172    0.70796E+04    0.11466E+01   -0.53593E+02    0.24687E+07    0.42059E+04
   173    0.71167E+04    0.11330E+01   -0.52835E+02    0.24537E+07    0.41713E+04
   174    0.71533E+04    0.11197E+01   -0.52040E+02    0.24388E+07    0.41370E+04
   175    0.71894E+04    0.11062E+01   -0.51207E+02    0.24241E+07    0.41030E+04
   176    0.72248E+04    0.10928E+01   -0.50337E+02    0.24095E+07    0.40693E+04
   177    0.72596E+04    0.10794E+01   -0.49431E+02    0.23950E+07    0.40360E+04
   178    0.72938E+04    0.10663E+01   -0.48486E+02    0.23807E+07    0.40029E+04
   179    0.73274E+04    0.10533E+01   -0.47504E+02    0.23665E+07    0.39701E+04
   180    0.73605E+04    0.10404E+01   -0.46486E+02    0.23524E+07    0.39376E+04
   181    0.73929E+04    0.10278E+01   -0.45432E+02    0.23385E+07    0.39054E+04
   182    0.74247E+04    0.10154E+01   -0.44340E+02    0.23247E+07    0.38734E+04
   183    0.74558E+04    0.10033E+01   -0.43212E+02    0.23110E+07    0.38417E+04
   184    0.74863E+04    0.99159E+00   -0.42047E+02    0.22975E+07    0.38103E+04
   185    0.75161E+04    0.98033E+00   -0.40847E+02    0.22840E+07    0.37791E+04
   186    0.75450E+04    0.96942E+00   -0.39610E+02    0.22707E+07    0.37482E+04
