#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    73    0.21908E+04   -0.83930E+01    0.83751E-05   -0.83930E+01    0.47867E+00   -0.21329E-07    0.83751E-05   -0.21329E-07    0.28221E-10
    74    0.22179E+04   -0.89841E+01    0.81611E-05   -0.89841E+01    0.49631E+00   -0.21163E-07    0.81611E-05   -0.21163E-07    0.27342E-10
    75    0.22453E+04   -0.95885E+01    0.79549E-05   -0.95885E+01    0.51419E+00   -0.20997E-07    0.79549E-05   -0.20997E-07    0.26499E-10
    76    0.22729E+04   -0.10206E+02    0.77563E-05   -0.10206E+02    0.53231E+00   -0.20831E-07    0.77563E-05   -0.20831E-07    0.25690E-10
    77    0.23008E+04   -0.10837E+02    0.75647E-05   -0.10837E+02    0.55067E+00   -0.20665E-07    0.75647E-05   -0.20665E-07    0.24914E-10
    78    0.23292E+04   -0.11483E+02    0.73801E-05   -0.11483E+02    0.56927E+00   -0.20498E-07    0.73801E-05   -0.20498E-07    0.24168E-10
    79    0.23577E+04   -0.12138E+02    0.72020E-05   -0.12138E+02    0.58804E+00   -0.20332E-07    0.72020E-05   -0.20332E-07    0.23451E-10
    80    0.23865E+04   -0.12805E+02    0.70301E-05   -0.12805E+02    0.60697E+00   -0.20166E-07    0.70301E-05   -0.20166E-07    0.22763E-10
    81    0.24157E+04   -0.13484E+02    0.68642E-05   -0.13484E+02    0.62600E+00   -0.20000E-07    0.68642E-05   -0.20000E-07    0.22100E-10
    82    0.24451E+04   -0.14173E+02    0.67040E-05   -0.14173E+02    0.64516E+00   -0.19835E-07    0.67040E-05   -0.19835E-07    0.21463E-10
    83    0.24749E+04   -0.14874E+02    0.65491E-05   -0.14874E+02    0.66440E+00   -0.19669E-07    0.65491E-05   -0.19669E-07    0.20849E-10
    84    0.25049E+04   -0.15584E+02    0.63994E-05   -0.15584E+02    0.68373E+00   -0.19504E-07    0.63994E-05   -0.19504E-07    0.20258E-10
    85    0.25352E+04   -0.16304E+02    0.62548E-05   -0.16304E+02    0.70312E+00   -0.19338E-07    0.62548E-05   -0.19338E-07    0.19689E-10
    86    0.25657E+04   -0.17034E+02    0.61148E-05   -0.17034E+02    0.72257E+00   -0.19173E-07    0.61148E-05   -0.19173E-07    0.19141E-10
    87    0.25967E+04   -0.17771E+02    0.59795E-05   -0.17771E+02    0.74205E+00   -0.19008E-07    0.59795E-05   -0.19008E-07    0.18614E-10
    88    0.26278E+04   -0.18517E+02    0.58484E-05   -0.18517E+02    0.76157E+00   -0.18844E-07    0.58484E-05   -0.18844E-07    0.18105E-10
    89    0.26593E+04   -0.19271E+02    0.57215E-05   -0.19271E+02    0.78111E+00   -0.18679E-07    0.57215E-05   -0.18679E-07    0.17614E-10
    90    0.26911E+04   -0.20031E+02    0.55985E-05   -0.20031E+02    0.80062E+00   -0.18514E-07    0.55985E-05   -0.18514E-07    0.17140E-10
    91    0.27230E+04   -0.20797E+02    0.54792E-05   -0.20797E+02    0.82009E+00   -0.18350E-07    0.54792E-05   -0.18350E-07    0.16683E-10
    92    0.27553E+04   -0.21568E+02    0.53636E-05   -0.21568E+02    0.83950E+00   -0.18185E-07    0.53636E-05   -0.18185E-07    0.16242E-10
    93    0.27880E+04   -0.22345E+02    0.52514E-05   -0.22345E+02    0.85884E+00   -0.18021E-07    0.52514E-05   -0.18021E-07    0.15816E-10
    94    0.28208E+04   -0.23125E+02    0.51426E-05   -0.23125E+02    0.87807E+00   -0.17857E-07    0.51426E-05   -0.17857E-07    0.15404E-10
    95    0.28539E+04   -0.23910E+02    0.50370E-05   -0.23910E+02    0.89719E+00   -0.17693E-07    0.50370E-05   -0.17693E-07    0.15006E-10
    96    0.28871E+04   -0.24698E+02    0.49344E-05   -0.24698E+02    0.91617E+00   -0.17530E-07    0.49344E-05   -0.17530E-07    0.14622E-10
    97    0.29208E+04   -0.25489E+02    0.48347E-05   -0.25489E+02    0.93500E+00   -0.17366E-07    0.48347E-05   -0.17366E-07    0.14250E-10
    98    0.29547E+04   -0.26280E+02    0.47378E-05   -0.26280E+02    0.95366E+00   -0.17203E-07    0.47378E-05   -0.17203E-07    0.13890E-10
    99    0.29887E+04   -0.27075E+02    0.46435E-05   -0.27075E+02    0.97212E+00   -0.17040E-07    0.46435E-05   -0.17040E-07    0.13541E-10
   100    0.30231E+04   -0.27868E+02    0.45519E-05   -0.27868E+02    0.99037E+00   -0.16877E-07    0.45519E-05   -0.16877E-07    0.13204E-10
   101    0.30576E+04   -0.28663E+02    0.44629E-05   -0.28663E+02    0.10085E+01   -0.16714E-07    0.44629E-05   -0.16714E-07    0.12877E-10
   102    0.30928E+04   -0.29456E+02    0.43763E-05   -0.29456E+02    0.10262E+01   -0.16552E-07    0.43763E-05   -0.16552E-07    0.12561E-10
   103    0.31278E+04   -0.30250E+02    0.42921E-05   -0.30250E+02    0.10438E+01   -0.16390E-07    0.42921E-05   -0.16390E-07    0.12255E-10
   104    0.31632E+04   -0.31039E+02    0.42102E-05   -0.31039E+02    0.10611E+01   -0.16228E-07    0.42102E-05   -0.16228E-07    0.11959E-10
   105    0.31987E+04   -0.31827E+02    0.41305E-05   -0.31827E+02    0.10781E+01   -0.16066E-07    0.41305E-05   -0.16066E-07    0.11673E-10
   106    0.32344E+04   -0.32612E+02    0.40530E-05   -0.32612E+02    0.10948E+01   -0.15904E-07    0.40530E-05   -0.15904E-07    0.11395E-10
   107    0.32702E+04   -0.33393E+02    0.39776E-05   -0.33393E+02    0.11111E+01   -0.15743E-07    0.39776E-05   -0.15743E-07    0.11126E-10
   108    0.33063E+04   -0.34169E+02    0.39042E-05   -0.34169E+02    0.11271E+01   -0.15582E-07    0.39042E-05   -0.15582E-07    0.10866E-10
   109    0.33426E+04   -0.34940E+02    0.38327E-05   -0.34940E+02    0.11426E+01   -0.15422E-07    0.38327E-05   -0.15422E-07    0.10614E-10
   110    0.33790E+04   -0.35703E+02    0.37631E-05   -0.35703E+02    0.11578E+01   -0.15261E-07    0.37631E-05   -0.15261E-07    0.10370E-10
   111    0.34156E+04   -0.36461E+02    0.36953E-05   -0.36461E+02    0.11726E+01   -0.15101E-07    0.36953E-05   -0.15101E-07    0.10133E-10
   112    0.34524E+04   -0.37212E+02    0.36292E-05   -0.37212E+02    0.11869E+01   -0.14942E-07    0.36292E-05   -0.14942E-07    0.99026E-11
   113    0.34894E+04   -0.37955E+02    0.35647E-05   -0.37955E+02    0.12009E+01   -0.14782E-07    0.35647E-05   -0.14782E-07    0.96793E-11
   114    0.35265E+04   -0.38688E+02    0.35018E-05   -0.38688E+02    0.12143E+01   -0.14623E-07    0.35018E-05   -0.14623E-07    0.94624E-11
   115    0.35639E+04   -0.39412E+02    0.34403E-05   -0.39412E+02    0.12274E+01   -0.14465E-07    0.34403E-05   -0.14465E-07    0.92516E-11
   116    0.36012E+04   -0.40126E+02    0.33804E-05   -0.40126E+02    0.12398E+01   -0.14306E-07    0.33804E-05   -0.14306E-07    0.90466E-11
   117    0.36389E+04   -0.40828E+02    0.33218E-05   -0.40828E+02    0.12518E+01   -0.14148E-07    0.33218E-05   -0.14148E-07    0.88473E-11
   118    0.36768E+04   -0.41520E+02    0.32646E-05   -0.41520E+02    0.12633E+01   -0.13991E-07    0.32646E-05   -0.13991E-07    0.86536E-11
   119    0.37147E+04   -0.42199E+02    0.32088E-05   -0.42199E+02    0.12744E+01   -0.13833E-07    0.32088E-05   -0.13833E-07    0.84653E-11
   120    0.37527E+04   -0.42864E+02    0.31542E-05   -0.42864E+02    0.12847E+01   -0.13677E-07    0.31542E-05   -0.13677E-07    0.82822E-11
   121    0.37908E+04   -0.43517E+02    0.31010E-05   -0.43517E+02    0.12947E+01   -0.13520E-07    0.31010E-05   -0.13520E-07    0.81043E-11
   122    0.38289E+04   -0.44155E+02    0.30489E-05   -0.44155E+02    0.13041E+01   -0.13364E-07    0.30489E-05   -0.13364E-07    0.79313E-11
   123    0.38671E+04   -0.44778E+02    0.29981E-05   -0.44778E+02    0.13128E+01   -0.13208E-07    0.29981E-05   -0.13208E-07    0.77632E-11
   124    0.39054E+04   -0.45384E+02    0.29484E-05   -0.45384E+02    0.13210E+01   -0.13053E-07    0.29484E-05   -0.13053E-07    0.75996E-11
   125    0.39437E+04   -0.45975E+02    0.28999E-05   -0.45975E+02    0.13286E+01   -0.12898E-07    0.28999E-05   -0.12898E-07    0.74406E-11
   126    0.39821E+04   -0.46549E+02    0.28524E-05   -0.46549E+02    0.13356E+01   -0.12743E-07    0.28524E-05   -0.12743E-07    0.72859E-11
   127    0.40204E+04   -0.47106E+02    0.28061E-05   -0.47106E+02    0.13420E+01   -0.12589E-07    0.28061E-05   -0.12589E-07    0.71354E-11
   128    0.40588E+04   -0.47644E+02    0.27607E-05   -0.47644E+02    0.13478E+01   -0.12435E-07    0.27607E-05   -0.12435E-07    0.69890E-11
   129    0.40972E+04   -0.48164E+02    0.27163E-05   -0.48164E+02    0.13530E+01   -0.12282E-07    0.27163E-05   -0.12282E-07    0.68464E-11
   130    0.41356E+04   -0.48663E+02    0.26729E-05   -0.48663E+02    0.13575E+01   -0.12129E-07    0.26729E-05   -0.12129E-07    0.67076E-11
   131    0.41739E+04   -0.49144E+02    0.26304E-05   -0.49144E+02    0.13614E+01   -0.11976E-07    0.26304E-05   -0.11976E-07    0.65723E-11
   132    0.42124E+04   -0.49603E+02    0.25888E-05   -0.49603E+02    0.13647E+01   -0.11824E-07    0.25888E-05   -0.11824E-07    0.64405E-11
   133    0.42507E+04   -0.50042E+02    0.25480E-05   -0.50042E+02    0.13673E+01   -0.11672E-07    0.25480E-05   -0.11672E-07    0.63121E-11
   134    0.42891E+04   -0.50457E+02    0.25081E-05   -0.50457E+02    0.13693E+01   -0.11521E-07    0.25081E-05   -0.11521E-07    0.61869E-11
   135    0.43274E+04   -0.50850E+02    0.24691E-05   -0.50850E+02    0.13707E+01   -0.11370E-07    0.24691E-05   -0.11370E-07    0.60649E-11
   136    0.43655E+04   -0.51219E+02    0.24308E-05   -0.51219E+02    0.13713E+01   -0.11220E-07    0.24308E-05   -0.11220E-07    0.59460E-11
   137    0.44036E+04   -0.51565E+02    0.23933E-05   -0.51565E+02    0.13714E+01   -0.11070E-07    0.23933E-05   -0.11070E-07    0.58301E-11
   138    0.44416E+04   -0.51887E+02    0.23566E-05   -0.51887E+02    0.13708E+01   -0.10921E-07    0.23566E-05   -0.10921E-07    0.57172E-11
   139    0.44794E+04   -0.52183E+02    0.23206E-05   -0.52183E+02    0.13697E+01   -0.10772E-07    0.23206E-05   -0.10772E-07    0.56071E-11
   140    0.45172E+04   -0.52455E+02    0.22853E-05   -0.52455E+02    0.13678E+01   -0.10623E-07    0.22853E-05   -0.10623E-07    0.54998E-11
   141    0.45547E+04   -0.52701E+02    0.22508E-05   -0.52701E+02    0.13653E+01   -0.10475E-07    0.22508E-05   -0.10475E-07    0.53951E-11
   142    0.45922E+04   -0.52920E+02    0.22170E-05   -0.52920E+02    0.13622E+01   -0.10328E-07    0.22170E-05   -0.10328E-07    0.52931E-11
   143    0.46296E+04   -0.53114E+02    0.21838E-05   -0.53114E+02    0.13584E+01   -0.10181E-07    0.21838E-05   -0.10181E-07    0.51936E-11
   144    0.46668E+04   -0.53281E+02    0.21513E-05   -0.53281E+02    0.13541E+01   -0.10035E-07    0.21513E-05   -0.10035E-07    0.50966E-11
   145    0.47038E+04   -0.53420E+02    0.21194E-05   -0.53420E+02    0.13492E+01   -0.98887E-08    0.21194E-05   -0.98887E-08    0.50019E-11
   146    0.47408E+04   -0.53532E+02    0.20882E-05   -0.53532E+02    0.13436E+01   -0.97433E-08    0.20882E-05   -0.97433E-08    0.49094E-11
   147    0.47774E+04   -0.53615E+02    0.20575E-05   -0.53615E+02    0.13375E+01   -0.95985E-08    0.20575E-05   -0.95985E-08    0.48192E-11
   148    0.48138E+04   -0.53670E+02    0.20274E-05   -0.53670E+02    0.13307E+01   -0.94542E-08    0.20274E-05   -0.94542E-08    0.47311E-11
   149    0.48501E+04   -0.53695E+02    0.19979E-05   -0.53695E+02    0.13234E+01   -0.93105E-08    0.19979E-05   -0.93105E-08    0.46450E-11
   150    0.48861E+04   -0.53690E+02    0.19690E-05   -0.53690E+02    0.13156E+01   -0.91673E-08    0.19690E-05   -0.91673E-08    0.45609E-11
   151    0.49219E+04   -0.53656E+02    0.19405E-05   -0.53656E+02    0.13072E+01   -0.90247E-08    0.19405E-05   -0.90247E-08    0.44787E-11
   152    0.49573E+04   -0.53591E+02    0.19126E-05   -0.53591E+02    0.12982E+01   -0.88827E-08    0.19126E-05   -0.88827E-08    0.43984E-11
   153    0.49925E+04   -0.53495E+02    0.18852E-05   -0.53495E+02    0.12887E+01   -0.87413E-08    0.18852E-05   -0.87413E-08    0.43200E-11
   154    0.50274E+04   -0.53369E+02    0.18583E-05   -0.53369E+02    0.12788E+01   -0.86004E-08    0.18583E-05   -0.86004E-08    0.42434E-11
   155    0.50620E+04   -0.53211E+02    0.18319E-05   -0.53211E+02    0.12684E+01   -0.84602E-08    0.18319E-05   -0.84602E-08    0.41685E-11
   156    0.50962E+04   -0.53023E+02    0.18060E-05   -0.53023E+02    0.12576E+01   -0.83205E-08    0.18060E-05   -0.83205E-08    0.40954E-11
   157    0.51302E+04   -0.52802E+02    0.17806E-05   -0.52802E+02    0.12463E+01   -0.81814E-08    0.17806E-05   -0.81814E-08    0.40239E-11
   158    0.51638E+04   -0.52550E+02    0.17556E-05   -0.52550E+02    0.12347E+01   -0.80430E-08    0.17556E-05   -0.80430E-08    0.39541E-11
   159    0.51971E+04   -0.52266E+02    0.17311E-05   -0.52266E+02    0.12225E+01   -0.79051E-08    0.17311E-05   -0.79051E-08    0.38858E-11
   160    0.52300E+04   -0.51948E+02    0.17070E-05   -0.51948E+02    0.12101E+01   -0.77678E-08    0.17070E-05   -0.77678E-08    0.38190E-11
   161    0.52625E+04   -0.51599E+02    0.16833E-05   -0.51599E+02    0.11973E+01   -0.76312E-08    0.16833E-05   -0.76312E-08    0.37538E-11
   162    0.52947E+04   -0.51218E+02    0.16601E-05   -0.51218E+02    0.11842E+01   -0.74952E-08    0.16601E-05   -0.74952E-08    0.36900E-11
   163    0.53266E+04   -0.50803E+02    0.16372E-05   -0.50803E+02    0.11708E+01   -0.73599E-08    0.16372E-05   -0.73599E-08    0.36276E-11
   164    0.53579E+04   -0.50357E+02    0.16147E-05   -0.50357E+02    0.11571E+01   -0.72251E-08    0.16147E-05   -0.72251E-08    0.35666E-11
   165    0.53890E+04   -0.49876E+02    0.15927E-05   -0.49876E+02    0.11431E+01   -0.70911E-08    0.15927E-05   -0.70911E-08    0.35068E-11
   166    0.54196E+04   -0.49363E+02    0.15709E-05   -0.49363E+02    0.11290E+01   -0.69576E-08    0.15709E-05   -0.69576E-08    0.34484E-11
   167    0.54498E+04   -0.48818E+02    0.15496E-05   -0.48818E+02    0.11145E+01   -0.68248E-08    0.15496E-05   -0.68248E-08    0.33912E-11
   168    0.54795E+04   -0.48238E+02    0.15286E-05   -0.48238E+02    0.11000E+01   -0.66927E-08    0.15286E-05   -0.66927E-08    0.33352E-11
   169    0.55088E+04   -0.47625E+02    0.15080E-05   -0.47625E+02    0.10853E+01   -0.65612E-08    0.15080E-05   -0.65612E-08    0.32804E-11
   170    0.55376E+04   -0.46979E+02    0.14877E-05   -0.46979E+02    0.10705E+01   -0.64304E-08    0.14877E-05   -0.64304E-08    0.32267E-11
   171    0.55658E+04   -0.46299E+02    0.14677E-05   -0.46299E+02    0.10557E+01   -0.63003E-08    0.14677E-05   -0.63003E-08    0.31742E-11
   172    0.55935E+04   -0.45587E+02    0.14481E-05   -0.45587E+02    0.10409E+01   -0.61708E-08    0.14481E-05   -0.61708E-08    0.31228E-11
   173    0.56207E+04   -0.44841E+02    0.14287E-05   -0.44841E+02    0.10259E+01   -0.60421E-08    0.14287E-05   -0.60421E-08    0.30725E-11
   174    0.56474E+04   -0.44063E+02    0.14097E-05   -0.44063E+02    0.10112E+01   -0.59140E-08    0.14097E-05   -0.59140E-08    0.30232E-11
   175    0.56736E+04   -0.43251E+02    0.13911E-05   -0.43251E+02    0.99637E+00   -0.57866E-08    0.13911E-05   -0.57866E-08    0.29749E-11
   176    0.56991E+04   -0.42406E+02    0.13727E-05   -0.42406E+02    0.98176E+00   -0.56598E-08    0.13727E-05   -0.56598E-08    0.29277E-11
   177    0.57241E+04   -0.41530E+02    0.13546E-05   -0.41530E+02    0.96725E+00   -0.55338E-08    0.13546E-05   -0.55338E-08    0.28814E-11
