#           k/h    P           
    0.13977E-01    0.16354E+02
    0.14259E-01    0.16415E+02
    0.14547E-01    0.16470E+02
    0.14841E-01    0.16520E+02
    0.15141E-01    0.16565E+02
    0.15447E-01    0.16603E+02
    0.15759E-01    0.16635E+02
    0.16077E-01    0.16661E+02
    0.16402E-01    0.16680E+02
    0.16734E-01    0.16693E+02
    0.17072E-01    0.16700E+02
    0.17416E-01    0.16699E+02
    0.17768E-01    0.16691E+02
    0.18127E-01    0.16676E+02
    0.18493E-01    0.16654E+02
    0.18867E-01    0.16624E+02
    0.19248E-01    0.16586E+02
    0.19637E-01    0.16541E+02
    0.20034E-01    0.16489E+02
    0.20438E-01    0.16428E+02
    0.20851E-01    0.16360E+02
    0.21272E-01    0.16283E+02
    0.21702E-01    0.16199E+02
    0.22141E-01    0.16107E+02
    0.22588E-01    0.16008E+02
    0.23044E-01    0.15900E+02
    0.23510E-01    0.15785E+02
    0.23985E-01    0.15662E+02
    0.24469E-01    0.15532E+02
    0.24964E-01    0.15395E+02
    0.25468E-01    0.15250E+02
    0.25982E-01    0.15099E+02
    0.26507E-01    0.14941E+02
    0.27043E-01    0.14777E+02
    0.27589E-01    0.14607E+02
    0.28146E-01    0.14431E+02
    0.28715E-01    0.14250E+02
    0.29295E-01    0.14064E+02
    0.29887E-01    0.13873E+02
    0.30490E-01    0.13678E+02
    0.31106E-01    0.13480E+02
    0.31735E-01    0.13279E+02
    0.32376E-01    0.13075E+02
    0.33030E-01    0.12869E+02
    0.33697E-01    0.12662E+02
    0.34378E-01    0.12454E+02
    0.35072E-01    0.12245E+02
    0.35781E-01    0.12037E+02
    0.36504E-01    0.11830E+02
    0.37241E-01    0.11624E+02
    0.37993E-01    0.11420E+02
    0.38761E-01    0.11218E+02
    0.39544E-01    0.11020E+02
    0.40343E-01    0.10825E+02
    0.41158E-01    0.10634E+02
    0.41989E-01    0.10448E+02
    0.42838E-01    0.10267E+02
    0.43703E-01    0.10090E+02
    0.44586E-01    0.99196E+01
    0.45486E-01    0.97546E+01
    0.46405E-01    0.95955E+01
