#    L    TT             EE             BB             TE          
   173    0.65134E+04    0.11027E+01    0.13247E-01   -0.49128E+02
   174    0.65458E+04    0.10892E+01    0.13418E-01   -0.48324E+02
   175    0.65776E+04    0.10755E+01    0.13590E-01   -0.47484E+02
   176    0.66088E+04    0.10621E+01    0.13763E-01   -0.46608E+02
   177    0.66394E+04    0.10487E+01    0.13938E-01   -0.45698E+02
   178    0.66694E+04    0.10357E+01    0.14114E-01   -0.44752E+02
   179    0.66988E+04    0.10227E+01    0.14291E-01   -0.43770E+02
   180    0.67277E+04    0.10099E+01    0.14470E-01   -0.42754E+02
   181    0.67559E+04    0.99744E+00    0.14649E-01   -0.41704E+02
   182    0.67836E+04    0.98534E+00    0.14830E-01   -0.40618E+02
   183    0.68105E+04    0.97353E+00    0.15013E-01   -0.39498E+02
   184    0.68368E+04    0.96210E+00    0.15196E-01   -0.38343E+02
   185    0.68626E+04    0.95121E+00    0.15381E-01   -0.37156E+02
   186    0.68873E+04    0.94073E+00    0.15567E-01   -0.35934E+02
   187    0.69117E+04    0.93082E+00    0.15754E-01   -0.34678E+02
   188    0.69354E+04    0.92148E+00    0.15943E-01   -0.33390E+02
   189    0.69583E+04    0.91274E+00    0.16132E-01   -0.32069E+02
   190    0.69809E+04    0.90468E+00    0.16323E-01   -0.30717E+02
   191    0.70024E+04    0.89733E+00    0.16515E-01   -0.29331E+02
   192    0.70233E+04    0.89072E+00    0.16708E-01   -0.27914E+02
   193    0.70434E+04    0.88492E+00    0.16902E-01   -0.26466E+02
   194    0.70630E+04    0.87995E+00    0.17097E-01   -0.24987E+02
   195    0.70818E+04    0.87588E+00    0.17294E-01   -0.23479E+02
   196    0.70998E+04    0.87274E+00    0.17491E-01   -0.21940E+02
   197    0.71171E+04    0.87060E+00    0.17690E-01   -0.20372E+02
   198    0.71337E+04    0.86949E+00    0.17889E-01   -0.18775E+02
   199    0.71496E+04    0.86946E+00    0.18090E-01   -0.17150E+02
   200    0.71648E+04    0.87055E+00    0.18292E-01   -0.15498E+02
   201    0.71792E+04    0.87282E+00    0.18495E-01   -0.13817E+02
   202    0.71928E+04    0.87631E+00    0.18698E-01   -0.12111E+02
   203    0.72056E+04    0.88108E+00    0.18903E-01   -0.10377E+02
   204    0.72176E+04    0.88716E+00    0.19109E-01   -0.86195E+01
   205    0.72288E+04    0.89461E+00    0.19316E-01   -0.68365E+01
   206    0.72392E+04    0.90348E+00    0.19523E-01   -0.50292E+01
   207    0.72488E+04    0.91380E+00    0.19732E-01   -0.31982E+01
   208    0.72575E+04    0.92563E+00    0.19941E-01   -0.13445E+01
   209    0.72654E+04    0.93901E+00    0.20151E-01    0.53165E+00
   210    0.72725E+04    0.95401E+00    0.20362E-01    0.24290E+01
   211    0.72788E+04    0.97065E+00    0.20574E-01    0.43473E+01
   212    0.72842E+04    0.98899E+00    0.20787E-01    0.62854E+01
   213    0.72889E+04    0.10091E+01    0.21000E-01    0.82431E+01
   214    0.72927E+04    0.10309E+01    0.21215E-01    0.10219E+02
   215    0.72956E+04    0.10547E+01    0.21430E-01    0.12213E+02
   216    0.72978E+04    0.10803E+01    0.21645E-01    0.14224E+02
   217    0.72992E+04    0.11078E+01    0.21862E-01    0.16250E+02
   218    0.72997E+04    0.11373E+01    0.22079E-01    0.18292E+02
   219    0.72995E+04    0.11688E+01    0.22297E-01    0.20350E+02
   220    0.72985E+04    0.12023E+01    0.22515E-01    0.22420E+02
   221    0.72967E+04    0.12380E+01    0.22734E-01    0.24503E+02
   222    0.72941E+04    0.12758E+01    0.22953E-01    0.26598E+02
   223    0.72906E+04    0.13158E+01    0.23174E-01    0.28705E+02
   224    0.72864E+04    0.13580E+01    0.23394E-01    0.30820E+02
   225    0.72814E+04    0.14024E+01    0.23615E-01    0.32947E+02
   226    0.72756E+04    0.14492E+01    0.23837E-01    0.35081E+02
   227    0.72690E+04    0.14983E+01    0.24059E-01    0.37223E+02
   228    0.72617E+04    0.15497E+01    0.24281E-01    0.39372E+02
   229    0.72536E+04    0.16036E+01    0.24504E-01    0.41525E+02
   230    0.72446E+04    0.16599E+01    0.24728E-01    0.43685E+02
   231    0.72348E+04    0.17186E+01    0.24951E-01    0.45849E+02
   232    0.72243E+04    0.17799E+01    0.25175E-01    0.48015E+02
   233    0.72131E+04    0.18438E+01    0.25399E-01    0.50183E+02
   234    0.72009E+04    0.19102E+01    0.25624E-01    0.52353E+02
   235    0.71881E+04    0.19792E+01    0.25849E-01    0.54522E+02
   236    0.71744E+04    0.20509E+01    0.26074E-01    0.56691E+02
   237    0.71599E+04    0.21252E+01    0.26299E-01    0.58858E+02
   238    0.71447E+04    0.22023E+01    0.26524E-01    0.61023E+02
   239    0.71288E+04    0.22820E+01    0.26750E-01    0.63184E+02
   240    0.71120E+04    0.23645E+01    0.26975E-01    0.65340E+02
   241    0.70946E+04    0.24497E+01    0.27201E-01    0.67490E+02
   242    0.70764E+04    0.25377E+01    0.27427E-01    0.69634E+02
   243    0.70575E+04    0.26285E+01    0.27653E-01    0.71770E+02
   244    0.70378E+04    0.27221E+01    0.27878E-01    0.73899E+02
   245    0.70173E+04    0.28185E+01    0.28104E-01    0.76017E+02
   246    0.69962E+04    0.29178E+01    0.28330E-01    0.78126E+02
   247    0.69744E+04    0.30199E+01    0.28556E-01    0.80223E+02
   248    0.69518E+04    0.31252E+01    0.28781E-01    0.82307E+02
   249    0.69286E+04    0.32331E+01    0.29007E-01    0.84379E+02
   250    0.69047E+04    0.33440E+01    0.29232E-01    0.86435E+02
   251    0.68802E+04    0.34578E+01    0.29457E-01    0.88477E+02
   252    0.68548E+04    0.35746E+01    0.29682E-01    0.90504E+02
   253    0.68290E+04    0.36942E+01    0.29907E-01    0.92512E+02
   254    0.68025E+04    0.38169E+01    0.30131E-01    0.94503E+02
   255    0.67753E+04    0.39423E+01    0.30356E-01    0.96475E+02
   256    0.67475E+04    0.40709E+01    0.30580E-01    0.98429E+02
   257    0.67191E+04    0.42021E+01    0.30803E-01    0.10036E+03
   258    0.66901E+04    0.43365E+01    0.31027E-01    0.10227E+03
   259    0.66605E+04    0.44737E+01    0.31250E-01    0.10415E+03
   260    0.66304E+04    0.46138E+01    0.31472E-01    0.10602E+03
   261    0.65996E+04    0.47568E+01    0.31694E-01    0.10785E+03
   262    0.65682E+04    0.49028E+01    0.31916E-01    0.10967E+03
   263    0.65366E+04    0.50516E+01    0.32137E-01    0.11146E+03
   264    0.65042E+04    0.52032E+01    0.32358E-01    0.11322E+03
   265    0.64712E+04    0.53577E+01    0.32578E-01    0.11495E+03
   266    0.64379E+04    0.55152E+01    0.32798E-01    0.11666E+03
   267    0.64039E+04    0.56753E+01    0.33017E-01    0.11833E+03
   268    0.63694E+04    0.58385E+01    0.33236E-01    0.11997E+03
   269    0.63343E+04    0.60043E+01    0.33454E-01    0.12159E+03
   270    0.62989E+04    0.61729E+01    0.33671E-01    0.12317E+03
   271    0.62630E+04    0.63442E+01    0.33888E-01    0.12472E+03
   272    0.62267E+04    0.65184E+01    0.34104E-01    0.12623E+03
   273    0.61899E+04    0.66950E+01    0.34320E-01    0.12772E+03
   274    0.61528E+04    0.68745E+01    0.34535E-01    0.12916E+03
   275    0.61152E+04    0.70564E+01    0.34749E-01    0.13058E+03
   276    0.60773E+04    0.72410E+01    0.34962E-01    0.13194E+03
   277    0.60388E+04    0.74281E+01    0.35175E-01    0.13329E+03
   278    0.60001E+04    0.76177E+01    0.35387E-01    0.13458E+03
   279    0.59610E+04    0.78098E+01    0.35598E-01    0.13584E+03
   280    0.59216E+04    0.80043E+01    0.35809E-01    0.13707E+03
   281    0.58820E+04    0.82012E+01    0.36019E-01    0.13825E+03
   282    0.58418E+04    0.84003E+01    0.36228E-01    0.13939E+03
   283    0.58015E+04    0.86018E+01    0.36436E-01    0.14049E+03
   284    0.57608E+04    0.88056E+01    0.36643E-01    0.14155E+03
   285    0.57199E+04    0.90117E+01    0.36849E-01    0.14256E+03
   286    0.56787E+04    0.92199E+01    0.37055E-01    0.14353E+03
   287    0.56372E+04    0.94301E+01    0.37260E-01    0.14447E+03
   288    0.55955E+04    0.96425E+01    0.37463E-01    0.14535E+03
   289    0.55536E+04    0.98568E+01    0.37666E-01    0.14620E+03
   290    0.55115E+04    0.10073E+02    0.37869E-01    0.14700E+03
   291    0.54692E+04    0.10292E+02    0.38070E-01    0.14775E+03
   292    0.54264E+04    0.10512E+02    0.38270E-01    0.14846E+03
   293    0.53838E+04    0.10733E+02    0.38469E-01    0.14912E+03
   294    0.53409E+04    0.10956E+02    0.38668E-01    0.14974E+03
   295    0.52980E+04    0.11181E+02    0.38866E-01    0.15031E+03
   296    0.52549E+04    0.11408E+02    0.39062E-01    0.15083E+03
   297    0.52117E+04    0.11635E+02    0.39258E-01    0.15131E+03
   298    0.51682E+04    0.11864E+02    0.39453E-01    0.15174E+03
   299    0.51248E+04    0.12096E+02    0.39646E-01    0.15212E+03
   300    0.50813E+04    0.12327E+02    0.39839E-01    0.15245E+03
   301    0.50377E+04    0.12560E+02    0.40031E-01    0.15273E+03
   302    0.49941E+04    0.12794E+02    0.40222E-01    0.15298E+03
   303    0.49505E+04    0.13029E+02    0.40412E-01    0.15317E+03
   304    0.49068E+04    0.13266E+02    0.40602E-01    0.15330E+03
   305    0.48632E+04    0.13503E+02    0.40790E-01    0.15339E+03
   306    0.48195E+04    0.13740E+02    0.40977E-01    0.15343E+03
   307    0.47759E+04    0.13979E+02    0.41163E-01    0.15341E+03
   308    0.47323E+04    0.14219E+02    0.41349E-01    0.15336E+03
   309    0.46888E+04    0.14459E+02    0.41533E-01    0.15325E+03
   310    0.46453E+04    0.14698E+02    0.41717E-01    0.15309E+03
   311    0.46019E+04    0.14940E+02    0.41899E-01    0.15288E+03
   312    0.45587E+04    0.15181E+02    0.42081E-01    0.15262E+03
   313    0.45155E+04    0.15423E+02    0.42262E-01    0.15231E+03
   314    0.44724E+04    0.15665E+02    0.42442E-01    0.15196E+03
   315    0.44295E+04    0.15906E+02    0.42621E-01    0.15156E+03
   316    0.43867E+04    0.16147E+02    0.42799E-01    0.15110E+03
   317    0.43441E+04    0.16388E+02    0.42976E-01    0.15059E+03
   318    0.43016E+04    0.16630E+02    0.43152E-01    0.15004E+03
   319    0.42593E+04    0.16871E+02    0.43328E-01    0.14944E+03
   320    0.42172E+04    0.17111E+02    0.43503E-01    0.14879E+03
   321    0.41753E+04    0.17352E+02    0.43676E-01    0.14809E+03
   322    0.41336E+04    0.17591E+02    0.43849E-01    0.14734E+03
   323    0.40921E+04    0.17830E+02    0.44022E-01    0.14655E+03
   324    0.40509E+04    0.18069E+02    0.44193E-01    0.14570E+03
   325    0.40100E+04    0.18304E+02    0.44364E-01    0.14481E+03
   326    0.39692E+04    0.18541E+02    0.44534E-01    0.14387E+03
   327    0.39287E+04    0.18776E+02    0.44703E-01    0.14288E+03
   328    0.38886E+04    0.19010E+02    0.44871E-01    0.14185E+03
   329    0.38487E+04    0.19243E+02    0.45039E-01    0.14077E+03
   330    0.38091E+04    0.19474E+02    0.45206E-01    0.13964E+03
   331    0.37700E+04    0.19703E+02    0.45372E-01    0.13848E+03
   332    0.37310E+04    0.19932E+02    0.45538E-01    0.13727E+03
   333    0.36924E+04    0.20159E+02    0.45702E-01    0.13602E+03
   334    0.36543E+04    0.20384E+02    0.45867E-01    0.13472E+03
   335    0.36163E+04    0.20607E+02    0.46030E-01    0.13337E+03
   336    0.35788E+04    0.20828E+02    0.46194E-01    0.13199E+03
   337    0.35417E+04    0.21048E+02    0.46356E-01    0.13055E+03
   338    0.35049E+04    0.21264E+02    0.46518E-01    0.12908E+03
   339    0.34687E+04    0.21480E+02    0.46680E-01    0.12757E+03
   340    0.34327E+04    0.21693E+02    0.46841E-01    0.12603E+03
   341    0.33971E+04    0.21903E+02    0.47001E-01    0.12443E+03
   342    0.33620E+04    0.22113E+02    0.47161E-01    0.12280E+03
   343    0.33274E+04    0.22318E+02    0.47321E-01    0.12113E+03
   344    0.32932E+04    0.22521E+02    0.47480E-01    0.11942E+03
   345    0.32593E+04    0.22721E+02    0.47638E-01    0.11768E+03
   346    0.32260E+04    0.22919E+02    0.47797E-01    0.11590E+03
   347    0.31931E+04    0.23114E+02    0.47955E-01    0.11408E+03
   348    0.31607E+04    0.23305E+02    0.48113E-01    0.11223E+03
   349    0.31287E+04    0.23494E+02    0.48270E-01    0.11034E+03
   350    0.30973E+04    0.23679E+02    0.48427E-01    0.10842E+03
   351    0.30664E+04    0.23862E+02    0.48584E-01    0.10647E+03
   352    0.30359E+04    0.24041E+02    0.48741E-01    0.10448E+03
   353    0.30059E+04    0.24216E+02    0.48897E-01    0.10247E+03
   354    0.29764E+04    0.24389E+02    0.49054E-01    0.10042E+03
   355    0.29475E+04    0.24557E+02    0.49210E-01    0.98342E+02
   356    0.29191E+04    0.24723E+02    0.49366E-01    0.96243E+02
   357    0.28912E+04    0.24885E+02    0.49522E-01    0.94111E+02
   358    0.28638E+04    0.25041E+02    0.49678E-01    0.91959E+02
   359    0.28369E+04    0.25195E+02    0.49834E-01    0.89774E+02
   360    0.28106E+04    0.25345E+02    0.49990E-01    0.87566E+02
   361    0.27848E+04    0.25491E+02    0.50146E-01    0.85333E+02
   362    0.27596E+04    0.25633E+02    0.50302E-01    0.83076E+02
   363    0.27349E+04    0.25772E+02    0.50458E-01    0.80798E+02
   364    0.27108E+04    0.25905E+02    0.50614E-01    0.78496E+02
   365    0.26872E+04    0.26034E+02    0.50770E-01    0.76177E+02
   366    0.26642E+04    0.26160E+02    0.50927E-01    0.73837E+02
   367    0.26418E+04    0.26280E+02    0.51084E-01    0.71479E+02
   368    0.26198E+04    0.26396E+02    0.51240E-01    0.69104E+02
   369    0.25985E+04    0.26508E+02    0.51398E-01    0.66711E+02
   370    0.25778E+04    0.26616E+02    0.51555E-01    0.64306E+02
   371    0.25576E+04    0.26718E+02    0.51713E-01    0.61884E+02
   372    0.25379E+04    0.26816E+02    0.51871E-01    0.59450E+02
   373    0.25189E+04    0.26909E+02    0.52029E-01    0.57003E+02
   374    0.25004E+04    0.26998E+02    0.52188E-01    0.54544E+02
   375    0.24825E+04    0.27082E+02    0.52347E-01    0.52076E+02
   376    0.24652E+04    0.27162E+02    0.52507E-01    0.49598E+02
   377    0.24485E+04    0.27236E+02    0.52667E-01    0.47114E+02
   378    0.24323E+04    0.27305E+02    0.52828E-01    0.44620E+02
   379    0.24166E+04    0.27370E+02    0.52989E-01    0.42122E+02
   380    0.24017E+04    0.27431E+02    0.53151E-01    0.39617E+02
   381    0.23872E+04    0.27484E+02    0.53313E-01    0.37109E+02
   382    0.23733E+04    0.27534E+02    0.53476E-01    0.34599E+02
   383    0.23600E+04    0.27578E+02    0.53639E-01    0.32085E+02
   384    0.23473E+04    0.27617E+02    0.53804E-01    0.29572E+02
   385    0.23351E+04    0.27652E+02    0.53968E-01    0.27057E+02
   386    0.23236E+04    0.27681E+02    0.54134E-01    0.24545E+02
   387    0.23125E+04    0.27705E+02    0.54300E-01    0.22034E+02
   388    0.23020E+04    0.27724E+02    0.54467E-01    0.19527E+02
   389    0.22921E+04    0.27735E+02    0.54635E-01    0.17025E+02
   390    0.22828E+04    0.27745E+02    0.54804E-01    0.14528E+02
   391    0.22741E+04    0.27748E+02    0.54973E-01    0.12036E+02
   392    0.22658E+04    0.27748E+02    0.55144E-01    0.95532E+01
   393    0.22582E+04    0.27741E+02    0.55315E-01    0.70779E+01
   394    0.22511E+04    0.27730E+02    0.55487E-01    0.46128E+01
   395    0.22444E+04    0.27713E+02    0.55660E-01    0.21567E+01
