#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.538256E-02   0.403689E+06   0.401451E+06   0.402775E+05   0.430694E+05   0.132066E+06   0.400048E+06   0.403378E+06   0.400355E+06  -0.545012E+00   0.400731E+06   0.400398E+06   0.844464E+02
   0.544270E-02   0.403138E+06   0.400852E+06   0.387199E+05   0.417216E+05   0.129708E+06   0.399469E+06   0.402820E+06   0.399764E+06  -0.544150E+00   0.400151E+06   0.399811E+06   0.851978E+02
   0.550352E-02   0.402580E+06   0.400245E+06   0.372806E+05   0.404751E+05   0.127403E+06   0.398882E+06   0.402255E+06   0.399166E+06  -0.543281E+00   0.399564E+06   0.399217E+06   0.859538E+02
   0.556501E-02   0.402014E+06   0.399628E+06   0.359576E+05   0.393271E+05   0.125151E+06   0.398289E+06   0.401683E+06   0.398563E+06  -0.542403E+00   0.398968E+06   0.398614E+06   0.867145E+02
   0.562719E-02   0.401441E+06   0.399004E+06   0.347489E+05   0.382741E+05   0.122954E+06   0.397689E+06   0.401102E+06   0.397953E+06  -0.541518E+00   0.398365E+06   0.398004E+06   0.874799E+02
   0.569006E-02   0.400860E+06   0.398370E+06   0.336516E+05   0.373127E+05   0.120811E+06   0.397081E+06   0.400514E+06   0.397337E+06  -0.540626E+00   0.397754E+06   0.397386E+06   0.882501E+02
   0.575363E-02   0.400271E+06   0.397728E+06   0.326627E+05   0.364389E+05   0.118724E+06   0.396467E+06   0.399918E+06   0.396715E+06  -0.539725E+00   0.397136E+06   0.396760E+06   0.890250E+02
   0.581792E-02   0.399675E+06   0.397077E+06   0.317789E+05   0.356485E+05   0.116691E+06   0.395845E+06   0.399314E+06   0.396087E+06  -0.538817E+00   0.396509E+06   0.396126E+06   0.898047E+02
   0.588292E-02   0.399070E+06   0.396417E+06   0.309963E+05   0.349370E+05   0.114714E+06   0.395217E+06   0.398702E+06   0.395452E+06  -0.537901E+00   0.395874E+06   0.395484E+06   0.905891E+02
   0.594865E-02   0.398458E+06   0.395748E+06   0.303108E+05   0.342996E+05   0.112792E+06   0.394581E+06   0.398082E+06   0.394811E+06  -0.536977E+00   0.395232E+06   0.394833E+06   0.913784E+02
   0.601512E-02   0.397839E+06   0.395070E+06   0.297178E+05   0.337313E+05   0.110926E+06   0.393938E+06   0.397454E+06   0.394164E+06  -0.536045E+00   0.394582E+06   0.394175E+06   0.921725E+02
