#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.550352E-02   0.163543E+08   0.163511E+08  -0.376090E+04  -0.428927E+04   0.117591E+08   0.163156E+08   0.163538E+08   0.163156E+08  -0.419433E+00   0.859505E+07   0.859502E+07   0.183663E+01
   0.556501E-02   0.163271E+08   0.163239E+08  -0.257302E+04  -0.351444E+04   0.116956E+08   0.162881E+08   0.163266E+08   0.162881E+08  -0.418726E+00   0.858064E+07   0.858060E+07   0.185202E+01
   0.562719E-02   0.162996E+08   0.162964E+08  -0.129156E+04  -0.280397E+04   0.116317E+08   0.162604E+08   0.162992E+08   0.162604E+08  -0.418013E+00   0.856608E+07   0.856605E+07   0.186752E+01
   0.569006E-02   0.162719E+08   0.162686E+08  -0.301581E+03  -0.239979E+04   0.115676E+08   0.162323E+08   0.162714E+08   0.162323E+08  -0.417292E+00   0.855137E+07   0.855134E+07   0.188313E+01
   0.575363E-02   0.162439E+08   0.162405E+08   0.106464E+03  -0.243512E+04   0.115033E+08   0.162040E+08   0.162434E+08   0.162040E+08  -0.416564E+00   0.853652E+07   0.853648E+07   0.189885E+01
   0.581792E-02   0.162156E+08   0.162121E+08  -0.166419E+03  -0.288624E+04   0.114387E+08   0.161754E+08   0.162151E+08   0.161754E+08  -0.415828E+00   0.852151E+07   0.852148E+07   0.191467E+01
   0.588292E-02   0.161870E+08   0.161835E+08  -0.993528E+03  -0.357898E+04   0.113738E+08   0.161465E+08   0.161865E+08   0.161465E+08  -0.415085E+00   0.850635E+07   0.850632E+07   0.193061E+01
   0.594865E-02   0.161581E+08   0.161545E+08  -0.206646E+04  -0.425069E+04   0.113086E+08   0.161173E+08   0.161576E+08   0.161173E+08  -0.414335E+00   0.849104E+07   0.849101E+07   0.194665E+01
   0.601512E-02   0.161290E+08   0.161253E+08  -0.300570E+04  -0.464774E+04   0.112432E+08   0.160878E+08   0.161284E+08   0.160878E+08  -0.413577E+00   0.847558E+07   0.847554E+07   0.196281E+01
   0.608233E-02   0.160995E+08   0.160957E+08  -0.350029E+04  -0.462287E+04   0.111776E+08   0.160581E+08   0.160990E+08   0.160581E+08  -0.412812E+00   0.845996E+07   0.845993E+07   0.197907E+01
   0.615028E-02   0.160698E+08   0.160659E+08  -0.342493E+04  -0.419442E+04   0.111117E+08   0.160280E+08   0.160692E+08   0.160280E+08  -0.412039E+00   0.844419E+07   0.844416E+07   0.199544E+01
   0.621900E-02   0.160397E+08   0.160358E+08  -0.288768E+04  -0.354114E+04   0.110455E+08   0.159976E+08   0.160391E+08   0.159976E+08  -0.411258E+00   0.842827E+07   0.842823E+07   0.201191E+01
   0.628849E-02   0.160094E+08   0.160053E+08  -0.218533E+04  -0.293135E+04   0.109791E+08   0.159670E+08   0.160088E+08   0.159670E+08  -0.410470E+00   0.841218E+07   0.841215E+07   0.202850E+01
   0.635875E-02   0.159787E+08   0.159746E+08  -0.167966E+04  -0.261203E+04   0.109124E+08   0.159360E+08   0.159781E+08   0.159360E+08  -0.409674E+00   0.839594E+07   0.839591E+07   0.204520E+01
   0.642980E-02   0.159478E+08   0.159436E+08  -0.164195E+04  -0.270324E+04   0.108455E+08   0.159048E+08   0.159472E+08   0.159048E+08  -0.408871E+00   0.837955E+07   0.837951E+07   0.206200E+01
   0.650164E-02   0.159165E+08   0.159122E+08  -0.213063E+04  -0.314418E+04   0.107783E+08   0.158732E+08   0.159159E+08   0.158732E+08  -0.408059E+00   0.836299E+07   0.836295E+07   0.207891E+01
   0.657428E-02   0.158850E+08   0.158806E+08  -0.295770E+04  -0.371805E+04   0.107109E+08   0.158413E+08   0.158843E+08   0.158413E+08  -0.407240E+00   0.834627E+07   0.834623E+07   0.209593E+01
   0.664773E-02   0.158531E+08   0.158486E+08  -0.376465E+04  -0.414867E+04   0.106432E+08   0.158092E+08   0.158525E+08   0.158092E+08  -0.406413E+00   0.832939E+07   0.832935E+07   0.211305E+01
   0.672201E-02   0.158209E+08   0.158164E+08  -0.418044E+04  -0.422816E+04   0.105753E+08   0.157767E+08   0.158203E+08   0.157767E+08  -0.405578E+00   0.831235E+07   0.831231E+07   0.213029E+01
   0.679711E-02   0.157885E+08   0.157838E+08  -0.399344E+04  -0.391649E+04   0.105071E+08   0.157439E+08   0.157878E+08   0.157439E+08  -0.404735E+00   0.829514E+07   0.829510E+07   0.214763E+01
   0.687306E-02   0.157557E+08   0.157509E+08  -0.325731E+04  -0.336306E+04   0.104387E+08   0.157108E+08   0.157550E+08   0.157108E+08  -0.403884E+00   0.827778E+07   0.827773E+07   0.216507E+01
   0.694985E-02   0.157226E+08   0.157177E+08  -0.227565E+04  -0.283505E+04   0.103701E+08   0.156774E+08   0.157219E+08   0.156774E+08  -0.403025E+00   0.826024E+07   0.826020E+07   0.218262E+01
   0.702750E-02   0.156891E+08   0.156842E+08  -0.146558E+04  -0.258381E+04   0.103013E+08   0.156436E+08   0.156884E+08   0.156436E+08  -0.402158E+00   0.824254E+07   0.824250E+07   0.220028E+01
   0.710602E-02   0.156554E+08   0.156503E+08  -0.116080E+04  -0.271484E+04   0.102322E+08   0.156096E+08   0.156547E+08   0.156096E+08  -0.401282E+00   0.822467E+07   0.822463E+07   0.221804E+01
   0.718542E-02   0.156213E+08   0.156162E+08  -0.254012E+04  -0.313037E+04   0.101630E+08   0.155752E+08   0.156206E+08   0.155752E+08  -0.400399E+00   0.820664E+07   0.820659E+07   0.223591E+01
   0.726570E-02   0.155870E+08   0.155817E+08  -0.305165E+04  -0.357972E+04   0.100936E+08   0.155405E+08   0.155862E+08   0.155405E+08  -0.399507E+00   0.818844E+07   0.818839E+07   0.225388E+01
   0.734688E-02   0.155523E+08   0.155469E+08  -0.350153E+04  -0.379546E+04   0.100241E+08   0.155055E+08   0.155515E+08   0.155055E+08  -0.398607E+00   0.817006E+07   0.817001E+07   0.227195E+01
   0.742897E-02   0.155172E+08   0.155117E+08  -0.360632E+04  -0.364362E+04   0.995442E+07   0.154702E+08   0.155164E+08   0.154702E+08  -0.397699E+00   0.815152E+07   0.815147E+07   0.229012E+01
