#           k/h    P           
    0.32292E+00    0.10951E+02
    0.32945E+00    0.10532E+02
    0.33610E+00    0.10105E+02
    0.34289E+00    0.96813E+01
    0.34982E+00    0.92780E+01
    0.35689E+00    0.89051E+01
    0.36409E+00    0.85644E+01
    0.37145E+00    0.82490E+01
    0.37895E+00    0.79475E+01
    0.38661E+00    0.76493E+01
    0.39442E+00    0.73493E+01
    0.40239E+00    0.70497E+01
    0.41052E+00    0.67573E+01
    0.41881E+00    0.64796E+01
    0.42727E+00    0.62198E+01
    0.43590E+00    0.59763E+01
    0.44471E+00    0.57437E+01
    0.45369E+00    0.55167E+01
    0.46286E+00    0.52932E+01
    0.47221E+00    0.50746E+01
    0.48174E+00    0.48642E+01
    0.49148E+00    0.46646E+01
    0.50141E+00    0.44753E+01
    0.51153E+00    0.42942E+01
    0.52187E+00    0.41187E+01
    0.53241E+00    0.39481E+01
    0.54317E+00    0.37832E+01
    0.55414E+00    0.36253E+01
    0.56533E+00    0.34747E+01
    0.57675E+00    0.33304E+01
    0.58840E+00    0.31915E+01
    0.60029E+00    0.30573E+01
    0.61242E+00    0.29282E+01
    0.62479E+00    0.28045E+01
    0.63741E+00    0.26860E+01
    0.65029E+00    0.25723E+01
    0.66342E+00    0.24630E+01
    0.67683E+00    0.23580E+01
    0.69050E+00    0.22571E+01
    0.70445E+00    0.21604E+01
    0.71868E+00    0.20677E+01
    0.73320E+00    0.19788E+01
    0.74801E+00    0.18935E+01
    0.76312E+00    0.18117E+01
    0.77854E+00    0.17332E+01
    0.79426E+00    0.16579E+01
    0.81031E+00    0.15858E+01
    0.82668E+00    0.15166E+01
    0.84338E+00    0.14503E+01
    0.86041E+00    0.13868E+01
    0.87780E+00    0.13259E+01
    0.89553E+00    0.12676E+01
    0.91362E+00    0.12117E+01
    0.93208E+00    0.11582E+01
    0.95091E+00    0.11070E+01
    0.97011E+00    0.10579E+01
    0.98971E+00    0.10109E+01
    0.10097E+01    0.96587E+00
    0.10301E+01    0.92279E+00
    0.10509E+01    0.88155E+00
    0.10721E+01    0.84207E+00
    0.10938E+01    0.80430E+00
    0.11159E+01    0.76815E+00
    0.11384E+01    0.73357E+00
    0.11614E+01    0.70049E+00
    0.11849E+01    0.66884E+00
    0.12088E+01    0.63857E+00
    0.12333E+01    0.60962E+00
    0.12582E+01    0.58193E+00
    0.12836E+01    0.55545E+00
    0.13095E+01    0.53014E+00
    0.13360E+01    0.50594E+00
    0.13630E+01    0.48280E+00
    0.13905E+01    0.46069E+00
    0.14186E+01    0.43956E+00
    0.14472E+01    0.41937E+00
    0.14765E+01    0.40007E+00
    0.15063E+01    0.38163E+00
    0.15367E+01    0.36401E+00
    0.15678E+01    0.34718E+00
    0.15994E+01    0.33111E+00
    0.16318E+01    0.31575E+00
    0.16647E+01    0.30109E+00
    0.16984E+01    0.28709E+00
    0.17327E+01    0.27372E+00
    0.17677E+01    0.26095E+00
    0.18034E+01    0.24876E+00
    0.18398E+01    0.23713E+00
    0.18770E+01    0.22602E+00
    0.19149E+01    0.21542E+00
    0.19536E+01    0.20531E+00
    0.19930E+01    0.19565E+00
    0.20333E+01    0.18644E+00
    0.20744E+01    0.17765E+00
    0.21163E+01    0.16926E+00
    0.21590E+01    0.16126E+00
    0.22026E+01    0.15362E+00
    0.22471E+01    0.14634E+00
    0.22925E+01    0.13940E+00
    0.23388E+01    0.13277E+00
    0.23861E+01    0.12646E+00
    0.24343E+01    0.12043E+00
    0.24835E+01    0.11469E+00
    0.25336E+01    0.10922E+00
    0.25848E+01    0.10400E+00
    0.26370E+01    0.99019E-01
    0.26903E+01    0.94275E-01
    0.27447E+01    0.89753E-01
    0.28001E+01    0.85443E-01
    0.28567E+01    0.81335E-01
    0.29144E+01    0.77421E-01
    0.29733E+01    0.73691E-01
    0.30333E+01    0.70136E-01
    0.30946E+01    0.66750E-01
    0.31571E+01    0.63523E-01
    0.32209E+01    0.60450E-01
    0.32860E+01    0.57521E-01
    0.33523E+01    0.54732E-01
    0.34201E+01    0.52076E-01
    0.34892E+01    0.49545E-01
    0.35596E+01    0.47135E-01
    0.36316E+01    0.44841E-01
    0.37049E+01    0.42655E-01
    0.37798E+01    0.40574E-01
    0.38561E+01    0.38593E-01
    0.39340E+01    0.36707E-01
    0.40135E+01    0.34911E-01
    0.40946E+01    0.33201E-01
    0.41773E+01    0.31574E-01
    0.42617E+01    0.30025E-01
    0.43478E+01    0.28550E-01
    0.44356E+01    0.27147E-01
    0.45252E+01    0.25811E-01
    0.46166E+01    0.24540E-01
    0.47099E+01    0.23331E-01
    0.48050E+01    0.22180E-01
    0.49021E+01    0.21085E-01
    0.50011E+01    0.20043E-01
    0.51021E+01    0.19052E-01
    0.52052E+01    0.18109E-01
    0.53104E+01    0.17212E-01
    0.54176E+01    0.16358E-01
    0.55271E+01    0.15546E-01
    0.56387E+01    0.14774E-01
    0.57526E+01    0.14040E-01
    0.58689E+01    0.13342E-01
    0.59874E+01    0.12677E-01
    0.61084E+01    0.12046E-01
    0.62318E+01    0.11445E-01
    0.63577E+01    0.10874E-01
    0.64861E+01    0.10331E-01
    0.66171E+01    0.98145E-02
    0.67508E+01    0.93236E-02
    0.68872E+01    0.88569E-02
    0.70263E+01    0.84133E-02
    0.71682E+01    0.79915E-02
    0.73130E+01    0.75906E-02
    0.74608E+01    0.72095E-02
    0.76115E+01    0.68473E-02
    0.77653E+01    0.65030E-02
    0.79221E+01    0.61759E-02
    0.80822E+01    0.58649E-02
    0.82454E+01    0.55694E-02
    0.84120E+01    0.52886E-02
    0.85819E+01    0.50218E-02
    0.87553E+01    0.47682E-02
    0.89322E+01    0.45273E-02
    0.91126E+01    0.42985E-02
    0.92967E+01    0.40810E-02
    0.94845E+01    0.38744E-02
    0.96761E+01    0.36781E-02
    0.98716E+01    0.34917E-02
    0.10071E+02    0.33146E-02
    0.10274E+02    0.31464E-02
    0.10482E+02    0.29866E-02
    0.10694E+02    0.28348E-02
    0.10910E+02    0.26906E-02
    0.11130E+02    0.25537E-02
    0.11355E+02    0.24237E-02
    0.11584E+02    0.23002E-02
    0.11818E+02    0.21830E-02
    0.12057E+02    0.20716E-02
    0.12301E+02    0.19659E-02
    0.12549E+02    0.18655E-02
    0.12803E+02    0.17701E-02
    0.13061E+02    0.16796E-02
    0.13325E+02    0.15937E-02
    0.13594E+02    0.15121E-02
    0.13869E+02    0.14347E-02
    0.14149E+02    0.13612E-02
    0.14435E+02    0.12914E-02
    0.14727E+02    0.12251E-02
    0.15024E+02    0.11622E-02
    0.15328E+02    0.11025E-02
    0.15637E+02    0.10459E-02
    0.15953E+02    0.99208E-03
    0.16275E+02    0.94104E-03
    0.16604E+02    0.89259E-03
    0.16940E+02    0.84662E-03
    0.17282E+02    0.80299E-03
    0.17631E+02    0.76159E-03
    0.17987E+02    0.72231E-03
    0.18351E+02    0.68503E-03
    0.18721E+02    0.64965E-03
    0.19099E+02    0.61609E-03
    0.19485E+02    0.58424E-03
    0.19879E+02    0.55402E-03
    0.20280E+02    0.52535E-03
    0.20690E+02    0.49816E-03
    0.21108E+02    0.47235E-03
    0.21535E+02    0.44787E-03
    0.21970E+02    0.42465E-03
    0.22413E+02    0.40262E-03
    0.22866E+02    0.38173E-03
    0.23328E+02    0.36190E-03
    0.23799E+02    0.34310E-03
    0.24280E+02    0.32527E-03
    0.24771E+02    0.30836E-03
    0.25271E+02    0.29231E-03
    0.25782E+02    0.27710E-03
    0.26302E+02    0.26267E-03
    0.26834E+02    0.24898E-03
    0.27376E+02    0.23600E-03
    0.27929E+02    0.22370E-03
    0.28493E+02    0.21203E-03
    0.29069E+02    0.20096E-03
    0.29656E+02    0.19046E-03
    0.30255E+02    0.18051E-03
    0.30866E+02    0.17108E-03
    0.31490E+02    0.16213E-03
    0.32126E+02    0.15365E-03
    0.32775E+02    0.14561E-03
    0.33437E+02    0.13798E-03
    0.34112E+02    0.13075E-03
    0.34801E+02    0.12390E-03
    0.35504E+02    0.11740E-03
    0.36222E+02    0.11125E-03
    0.36953E+02    0.10541E-03
    0.37700E+02    0.99873E-04
    0.38462E+02    0.94627E-04
    0.39239E+02    0.89654E-04
    0.40031E+02    0.84941E-04
    0.40840E+02    0.80473E-04
    0.41665E+02    0.76239E-04
    0.42507E+02    0.72225E-04
    0.43365E+02    0.68421E-04
    0.44241E+02    0.64816E-04
    0.45135E+02    0.61399E-04
    0.46047E+02    0.58161E-04
    0.46977E+02    0.55093E-04
    0.47926E+02    0.52185E-04
    0.48894E+02    0.49429E-04
    0.49882E+02    0.46818E-04
    0.50890E+02    0.44343E-04
    0.51918E+02    0.41998E-04
    0.52966E+02    0.39777E-04
    0.54036E+02    0.37672E-04
    0.55128E+02    0.35677E-04
    0.56242E+02    0.33787E-04
    0.57378E+02    0.31997E-04
    0.58537E+02    0.30300E-04
    0.59720E+02    0.28693E-04
    0.60926E+02    0.27170E-04
    0.62157E+02    0.25728E-04
    0.63412E+02    0.24361E-04
    0.64693E+02    0.23066E-04
    0.66000E+02    0.21840E-04
    0.67334E+02    0.20678E-04
    0.68694E+02    0.19578E-04
    0.70082E+02    0.18536E-04
    0.71497E+02    0.17548E-04
    0.72942E+02    0.16613E-04
    0.74415E+02    0.15727E-04
    0.75918E+02    0.14888E-04
    0.77452E+02    0.14094E-04
    0.79017E+02    0.13341E-04
    0.80613E+02    0.12628E-04
    0.82241E+02    0.11953E-04
    0.83903E+02    0.11314E-04
    0.85598E+02    0.10708E-04
    0.87327E+02    0.10135E-04
    0.89091E+02    0.95921E-05
    0.90891E+02    0.90780E-05
    0.92727E+02    0.85912E-05
    0.94600E+02    0.81302E-05
    0.96511E+02    0.76937E-05
    0.98461E+02    0.72803E-05
    0.10045E+03    0.68890E-05
    0.10248E+03    0.65185E-05
    0.10455E+03    0.61676E-05
    0.10666E+03    0.58355E-05
    0.10882E+03    0.55210E-05
    0.11101E+03    0.52233E-05
    0.11326E+03    0.49415E-05
    0.11554E+03    0.46747E-05
    0.11788E+03    0.44221E-05
    0.12026E+03    0.41830E-05
    0.12269E+03    0.39567E-05
    0.12517E+03    0.37425E-05
    0.12770E+03    0.35397E-05
    0.13028E+03    0.33477E-05
    0.13291E+03    0.31661E-05
    0.13559E+03    0.29941E-05
    0.13833E+03    0.28314E-05
    0.14113E+03    0.26773E-05
    0.14398E+03    0.25316E-05
    0.14689E+03    0.23936E-05
    0.14985E+03    0.22631E-05
    0.15288E+03    0.21395E-05
    0.15597E+03    0.20226E-05
    0.15912E+03    0.19120E-05
    0.16233E+03    0.18073E-05
    0.16561E+03    0.17083E-05
    0.16896E+03    0.16146E-05
    0.17237E+03    0.15259E-05
    0.17585E+03    0.14421E-05
    0.17941E+03    0.13627E-05
    0.18303E+03    0.12876E-05
    0.18673E+03    0.12166E-05
    0.19050E+03    0.11495E-05
    0.19435E+03    0.10859E-05
    0.19828E+03    0.10258E-05
    0.20228E+03    0.96897E-06
    0.20637E+03    0.91520E-06
    0.21054E+03    0.86436E-06
    0.21479E+03    0.81627E-06
    0.21913E+03    0.77080E-06
    0.22356E+03    0.72780E-06
    0.22807E+03    0.68714E-06
    0.23268E+03    0.64869E-06
    0.23738E+03    0.61234E-06
    0.24217E+03    0.57798E-06
    0.24707E+03    0.54550E-06
    0.25206E+03    0.51479E-06
    0.25715E+03    0.48576E-06
    0.26234E+03    0.45833E-06
    0.26764E+03    0.43240E-06
    0.27305E+03    0.40790E-06
    0.27857E+03    0.38474E-06
    0.28419E+03    0.36286E-06
    0.28994E+03    0.34219E-06
    0.29579E+03    0.32266E-06
    0.30177E+03    0.30421E-06
    0.30786E+03    0.28678E-06
    0.31408E+03    0.27032E-06
    0.32043E+03    0.25477E-06
    0.32690E+03    0.24009E-06
    0.33351E+03    0.22623E-06
    0.34024E+03    0.21315E-06
    0.34712E+03    0.20079E-06
    0.35413E+03    0.18913E-06
    0.36128E+03    0.17812E-06
    0.36858E+03    0.16773E-06
    0.37603E+03    0.15793E-06
    0.38362E+03    0.14868E-06
    0.39137E+03    0.13996E-06
    0.39928E+03    0.13173E-06
    0.40734E+03    0.12397E-06
    0.41557E+03    0.11665E-06
    0.42397E+03    0.10975E-06
    0.43253E+03    0.10325E-06
    0.44127E+03    0.97120E-07
    0.45019E+03    0.91344E-07
    0.45928E+03    0.85901E-07
    0.46856E+03    0.80772E-07
    0.47802E+03    0.75939E-07
    0.48768E+03    0.71388E-07
    0.49753E+03    0.67104E-07
