#    L    TT             EE             BB             TE          
   138    0.45739E+04    0.13801E+01    0.97837E-02   -0.52556E+02
   139    0.46127E+04    0.13787E+01    0.99337E-02   -0.52832E+02
   140    0.46515E+04    0.13765E+01    0.10085E-01   -0.53083E+02
   141    0.46901E+04    0.13736E+01    0.10238E-01   -0.53307E+02
   142    0.47287E+04    0.13702E+01    0.10392E-01   -0.53503E+02
   143    0.47671E+04    0.13661E+01    0.10548E-01   -0.53672E+02
   144    0.48052E+04    0.13615E+01    0.10705E-01   -0.53813E+02
   145    0.48431E+04    0.13563E+01    0.10864E-01   -0.53926E+02
   146    0.48810E+04    0.13504E+01    0.11024E-01   -0.54010E+02
   147    0.49185E+04    0.13440E+01    0.11185E-01   -0.54064E+02
   148    0.49558E+04    0.13370E+01    0.11348E-01   -0.54089E+02
   149    0.49930E+04    0.13294E+01    0.11512E-01   -0.54084E+02
   150    0.50298E+04    0.13213E+01    0.11678E-01   -0.54047E+02
   151    0.50664E+04    0.13127E+01    0.11846E-01   -0.53980E+02
   152    0.51026E+04    0.13035E+01    0.12014E-01   -0.53882E+02
   153    0.51385E+04    0.12939E+01    0.12185E-01   -0.53750E+02
   154    0.51741E+04    0.12838E+01    0.12356E-01   -0.53588E+02
   155    0.52095E+04    0.12732E+01    0.12530E-01   -0.53394E+02
   156    0.52443E+04    0.12623E+01    0.12704E-01   -0.53167E+02
   157    0.52790E+04    0.12509E+01    0.12881E-01   -0.52908E+02
   158    0.53132E+04    0.12392E+01    0.13058E-01   -0.52616E+02
   159    0.53470E+04    0.12270E+01    0.13238E-01   -0.52291E+02
   160    0.53805E+04    0.12145E+01    0.13418E-01   -0.51932E+02
   161    0.54136E+04    0.12018E+01    0.13600E-01   -0.51540E+02
   162    0.54463E+04    0.11887E+01    0.13784E-01   -0.51116E+02
   163    0.54787E+04    0.11753E+01    0.13969E-01   -0.50657E+02
   164    0.55104E+04    0.11618E+01    0.14156E-01   -0.50166E+02
   165    0.55419E+04    0.11479E+01    0.14344E-01   -0.49639E+02
   166    0.55729E+04    0.11340E+01    0.14534E-01   -0.49079E+02
   167    0.56036E+04    0.11197E+01    0.14725E-01   -0.48487E+02
   168    0.56336E+04    0.11055E+01    0.14917E-01   -0.47859E+02
   169    0.56631E+04    0.10911E+01    0.15111E-01   -0.47197E+02
   170    0.56922E+04    0.10766E+01    0.15307E-01   -0.46502E+02
   171    0.57207E+04    0.10622E+01    0.15504E-01   -0.45771E+02
   172    0.57486E+04    0.10478E+01    0.15702E-01   -0.45007E+02
   173    0.57760E+04    0.10333E+01    0.15902E-01   -0.44210E+02
   174    0.58028E+04    0.10191E+01    0.16103E-01   -0.43380E+02
   175    0.58292E+04    0.10049E+01    0.16306E-01   -0.42515E+02
   176    0.58548E+04    0.99096E+00    0.16510E-01   -0.41617E+02
   177    0.58799E+04    0.97715E+00    0.16715E-01   -0.40687E+02
   178    0.59044E+04    0.96375E+00    0.16922E-01   -0.39723E+02
   179    0.59283E+04    0.95045E+00    0.17130E-01   -0.38726E+02
   180    0.59517E+04    0.93751E+00    0.17340E-01   -0.37697E+02
   181    0.59745E+04    0.92492E+00    0.17551E-01   -0.36637E+02
   182    0.59966E+04    0.91278E+00    0.17763E-01   -0.35543E+02
   183    0.60180E+04    0.90102E+00    0.17977E-01   -0.34418E+02
   184    0.60389E+04    0.88973E+00    0.18192E-01   -0.33262E+02
   185    0.60592E+04    0.87907E+00    0.18409E-01   -0.32076E+02
   186    0.60785E+04    0.86891E+00    0.18626E-01   -0.30857E+02
   187    0.60975E+04    0.85940E+00    0.18845E-01   -0.29608E+02
   188    0.61158E+04    0.85054E+00    0.19066E-01   -0.28331E+02
   189    0.61333E+04    0.84238E+00    0.19287E-01   -0.27023E+02
   190    0.61505E+04    0.83499E+00    0.19510E-01   -0.25687E+02
   191    0.61666E+04    0.82839E+00    0.19734E-01   -0.24321E+02
   192    0.61822E+04    0.82262E+00    0.19959E-01   -0.22927E+02
   193    0.61970E+04    0.81775E+00    0.20186E-01   -0.21507E+02
   194    0.62113E+04    0.81380E+00    0.20413E-01   -0.20058E+02
   195    0.62248E+04    0.81083E+00    0.20642E-01   -0.18583E+02
   196    0.62375E+04    0.80889E+00    0.20872E-01   -0.17082E+02
   197    0.62496E+04    0.80803E+00    0.21103E-01   -0.15556E+02
   198    0.62611E+04    0.80830E+00    0.21335E-01   -0.14005E+02
   199    0.62718E+04    0.80973E+00    0.21569E-01   -0.12429E+02
   200    0.62818E+04    0.81237E+00    0.21803E-01   -0.10830E+02
   201    0.62910E+04    0.81629E+00    0.22038E-01   -0.92067E+01
   202    0.62996E+04    0.82150E+00    0.22275E-01   -0.75615E+01
   203    0.63073E+04    0.82807E+00    0.22512E-01   -0.58936E+01
   204    0.63143E+04    0.83603E+00    0.22750E-01   -0.42062E+01
   205    0.63205E+04    0.84544E+00    0.22990E-01   -0.24975E+01
   206    0.63259E+04    0.85634E+00    0.23230E-01   -0.76882E+00
   207    0.63307E+04    0.86876E+00    0.23471E-01    0.97901E+00
   208    0.63345E+04    0.88276E+00    0.23713E-01    0.27453E+01
   209    0.63376E+04    0.89838E+00    0.23956E-01    0.45293E+01
   210    0.63399E+04    0.91567E+00    0.24200E-01    0.63300E+01
   211    0.63415E+04    0.93466E+00    0.24445E-01    0.81470E+01
   212    0.63421E+04    0.95541E+00    0.24690E-01    0.99791E+01
   213    0.63421E+04    0.97796E+00    0.24936E-01    0.11826E+02
   214    0.63413E+04    0.10023E+01    0.25183E-01    0.13687E+02
   215    0.63398E+04    0.10287E+01    0.25431E-01    0.15560E+02
   216    0.63374E+04    0.10568E+01    0.25679E-01    0.17445E+02
   217    0.63344E+04    0.10870E+01    0.25928E-01    0.19342E+02
   218    0.63306E+04    0.11192E+01    0.26177E-01    0.21248E+02
   219    0.63260E+04    0.11533E+01    0.26428E-01    0.23166E+02
   220    0.63207E+04    0.11896E+01    0.26678E-01    0.25090E+02
   221    0.63147E+04    0.12280E+01    0.26930E-01    0.27023E+02
   222    0.63080E+04    0.12686E+01    0.27182E-01    0.28962E+02
   223    0.63004E+04    0.13114E+01    0.27434E-01    0.30909E+02
   224    0.62922E+04    0.13562E+01    0.27687E-01    0.32859E+02
   225    0.62833E+04    0.14034E+01    0.27940E-01    0.34815E+02
   226    0.62736E+04    0.14529E+01    0.28194E-01    0.36773E+02
   227    0.62632E+04    0.15047E+01    0.28448E-01    0.38734E+02
   228    0.62521E+04    0.15588E+01    0.28702E-01    0.40697E+02
   229    0.62404E+04    0.16153E+01    0.28957E-01    0.42660E+02
   230    0.62278E+04    0.16742E+01    0.29212E-01    0.44623E+02
   231    0.62146E+04    0.17355E+01    0.29467E-01    0.46585E+02
   232    0.62006E+04    0.17992E+01    0.29723E-01    0.48545E+02
   233    0.61861E+04    0.18656E+01    0.29978E-01    0.50501E+02
   234    0.61706E+04    0.19343E+01    0.30234E-01    0.52453E+02
   235    0.61546E+04    0.20057E+01    0.30491E-01    0.54400E+02
   236    0.61378E+04    0.20795E+01    0.30747E-01    0.56342E+02
   237    0.61204E+04    0.21559E+01    0.31003E-01    0.58276E+02
   238    0.61022E+04    0.22350E+01    0.31260E-01    0.60203E+02
   239    0.60835E+04    0.23166E+01    0.31516E-01    0.62122E+02
   240    0.60640E+04    0.24007E+01    0.31773E-01    0.64030E+02
   241    0.60439E+04    0.24876E+01    0.32029E-01    0.65927E+02
   242    0.60232E+04    0.25770E+01    0.32285E-01    0.67813E+02
   243    0.60018E+04    0.26691E+01    0.32542E-01    0.69687E+02
   244    0.59798E+04    0.27638E+01    0.32798E-01    0.71548E+02
   245    0.59571E+04    0.28612E+01    0.33054E-01    0.73394E+02
   246    0.59338E+04    0.29613E+01    0.33310E-01    0.75225E+02
   247    0.59099E+04    0.30639E+01    0.33566E-01    0.77040E+02
   248    0.58854E+04    0.31695E+01    0.33822E-01    0.78838E+02
   249    0.58604E+04    0.32776E+01    0.34077E-01    0.80619E+02
   250    0.58347E+04    0.33885E+01    0.34333E-01    0.82379E+02
   251    0.58085E+04    0.35019E+01    0.34588E-01    0.84121E+02
   252    0.57817E+04    0.36182E+01    0.34842E-01    0.85842E+02
   253    0.57544E+04    0.37369E+01    0.35097E-01    0.87542E+02
   254    0.57266E+04    0.38585E+01    0.35351E-01    0.89219E+02
   255    0.56982E+04    0.39825E+01    0.35604E-01    0.90873E+02
   256    0.56693E+04    0.41095E+01    0.35857E-01    0.92505E+02
   257    0.56400E+04    0.42387E+01    0.36110E-01    0.94106E+02
   258    0.56101E+04    0.43708E+01    0.36363E-01    0.95689E+02
   259    0.55797E+04    0.45054E+01    0.36615E-01    0.97239E+02
   260    0.55490E+04    0.46426E+01    0.36866E-01    0.98770E+02
   261    0.55177E+04    0.47822E+01    0.37117E-01    0.10026E+03
   262    0.54860E+04    0.49245E+01    0.37367E-01    0.10173E+03
   263    0.54541E+04    0.50692E+01    0.37617E-01    0.10318E+03
   264    0.54215E+04    0.52165E+01    0.37867E-01    0.10459E+03
   265    0.53885E+04    0.53661E+01    0.38116E-01    0.10596E+03
   266    0.53552E+04    0.55183E+01    0.38364E-01    0.10731E+03
   267    0.53214E+04    0.56728E+01    0.38611E-01    0.10862E+03
   268    0.52873E+04    0.58298E+01    0.38858E-01    0.10990E+03
   269    0.52527E+04    0.59891E+01    0.39105E-01    0.11115E+03
   270    0.52178E+04    0.61507E+01    0.39350E-01    0.11236E+03
   271    0.51826E+04    0.63145E+01    0.39595E-01    0.11354E+03
   272    0.51472E+04    0.64807E+01    0.39840E-01    0.11468E+03
   273    0.51114E+04    0.66489E+01    0.40083E-01    0.11579E+03
   274    0.50753E+04    0.68194E+01    0.40326E-01    0.11685E+03
   275    0.50389E+04    0.69919E+01    0.40568E-01    0.11789E+03
   276    0.50023E+04    0.71664E+01    0.40810E-01    0.11887E+03
   277    0.49654E+04    0.73430E+01    0.41050E-01    0.11983E+03
   278    0.49282E+04    0.75215E+01    0.41290E-01    0.12074E+03
   279    0.48909E+04    0.77019E+01    0.41529E-01    0.12161E+03
   280    0.48533E+04    0.78842E+01    0.41768E-01    0.12245E+03
   281    0.48156E+04    0.80684E+01    0.42005E-01    0.12325E+03
   282    0.47775E+04    0.82541E+01    0.42242E-01    0.12400E+03
   283    0.47394E+04    0.84416E+01    0.42478E-01    0.12471E+03
   284    0.47011E+04    0.86308E+01    0.42713E-01    0.12537E+03
   285    0.46627E+04    0.88216E+01    0.42948E-01    0.12600E+03
   286    0.46241E+04    0.90139E+01    0.43181E-01    0.12658E+03
   287    0.45853E+04    0.92077E+01    0.43414E-01    0.12712E+03
   288    0.45465E+04    0.94028E+01    0.43646E-01    0.12762E+03
   289    0.45076E+04    0.95993E+01    0.43877E-01    0.12807E+03
   290    0.44686E+04    0.97969E+01    0.44107E-01    0.12849E+03
   291    0.44295E+04    0.99964E+01    0.44337E-01    0.12885E+03
   292    0.43901E+04    0.10197E+02    0.44565E-01    0.12917E+03
   293    0.43510E+04    0.10397E+02    0.44793E-01    0.12944E+03
   294    0.43117E+04    0.10599E+02    0.45020E-01    0.12968E+03
   295    0.42726E+04    0.10802E+02    0.45246E-01    0.12986E+03
   296    0.42333E+04    0.11006E+02    0.45471E-01    0.13000E+03
   297    0.41941E+04    0.11210E+02    0.45696E-01    0.13011E+03
   298    0.41548E+04    0.11415E+02    0.45920E-01    0.13016E+03
   299    0.41156E+04    0.11622E+02    0.46143E-01    0.13016E+03
   300    0.40764E+04    0.11827E+02    0.46365E-01    0.13011E+03
   301    0.40373E+04    0.12034E+02    0.46586E-01    0.13003E+03
   302    0.39983E+04    0.12241E+02    0.46806E-01    0.12990E+03
   303    0.39594E+04    0.12448E+02    0.47026E-01    0.12973E+03
   304    0.39205E+04    0.12656E+02    0.47245E-01    0.12950E+03
   305    0.38818E+04    0.12864E+02    0.47463E-01    0.12923E+03
   306    0.38432E+04    0.13071E+02    0.47681E-01    0.12891E+03
   307    0.38048E+04    0.13278E+02    0.47897E-01    0.12855E+03
   308    0.37665E+04    0.13487E+02    0.48113E-01    0.12815E+03
   309    0.37284E+04    0.13694E+02    0.48329E-01    0.12769E+03
   310    0.36904E+04    0.13901E+02    0.48543E-01    0.12720E+03
   311    0.36526E+04    0.14108E+02    0.48757E-01    0.12665E+03
   312    0.36151E+04    0.14314E+02    0.48970E-01    0.12607E+03
   313    0.35777E+04    0.14520E+02    0.49183E-01    0.12544E+03
   314    0.35406E+04    0.14726E+02    0.49395E-01    0.12477E+03
   315    0.35037E+04    0.14930E+02    0.49606E-01    0.12405E+03
   316    0.34670E+04    0.15133E+02    0.49817E-01    0.12329E+03
   317    0.34306E+04    0.15335E+02    0.50027E-01    0.12248E+03
   318    0.33944E+04    0.15537E+02    0.50236E-01    0.12163E+03
   319    0.33586E+04    0.15738E+02    0.50445E-01    0.12074E+03
   320    0.33230E+04    0.15937E+02    0.50654E-01    0.11981E+03
   321    0.32877E+04    0.16136E+02    0.50862E-01    0.11884E+03
   322    0.32527E+04    0.16332E+02    0.51069E-01    0.11782E+03
   323    0.32180E+04    0.16527E+02    0.51276E-01    0.11676E+03
   324    0.31836E+04    0.16722E+02    0.51483E-01    0.11566E+03
   325    0.31497E+04    0.16913E+02    0.51689E-01    0.11453E+03
   326    0.31159E+04    0.17103E+02    0.51895E-01    0.11334E+03
   327    0.30826E+04    0.17292E+02    0.52100E-01    0.11212E+03
   328    0.30497E+04    0.17479E+02    0.52305E-01    0.11087E+03
   329    0.30171E+04    0.17663E+02    0.52510E-01    0.10958E+03
   330    0.29848E+04    0.17846E+02    0.52714E-01    0.10824E+03
   331    0.29531E+04    0.18026E+02    0.52918E-01    0.10687E+03
   332    0.29216E+04    0.18205E+02    0.53122E-01    0.10548E+03
   333    0.28906E+04    0.18381E+02    0.53326E-01    0.10404E+03
   334    0.28600E+04    0.18554E+02    0.53529E-01    0.10257E+03
   335    0.28298E+04    0.18725E+02    0.53733E-01    0.10106E+03
   336    0.28000E+04    0.18893E+02    0.53936E-01    0.99523E+02
   337    0.27707E+04    0.19059E+02    0.54139E-01    0.97941E+02
   338    0.27418E+04    0.19222E+02    0.54342E-01    0.96338E+02
   339    0.27134E+04    0.19383E+02    0.54545E-01    0.94700E+02
   340    0.26854E+04    0.19540E+02    0.54748E-01    0.93040E+02
   341    0.26579E+04    0.19694E+02    0.54951E-01    0.91339E+02
   342    0.26308E+04    0.19847E+02    0.55154E-01    0.89610E+02
   343    0.26042E+04    0.19995E+02    0.55357E-01    0.87855E+02
   344    0.25782E+04    0.20140E+02    0.55560E-01    0.86072E+02
   345    0.25525E+04    0.20282E+02    0.55763E-01    0.84264E+02
   346    0.25274E+04    0.20422E+02    0.55966E-01    0.82436E+02
   347    0.25027E+04    0.20557E+02    0.56170E-01    0.80576E+02
   348    0.24786E+04    0.20688E+02    0.56373E-01    0.78690E+02
   349    0.24549E+04    0.20817E+02    0.56577E-01    0.76780E+02
   350    0.24317E+04    0.20941E+02    0.56782E-01    0.74852E+02
   351    0.24092E+04    0.21063E+02    0.56986E-01    0.72900E+02
   352    0.23871E+04    0.21180E+02    0.57191E-01    0.70923E+02
   353    0.23655E+04    0.21294E+02    0.57396E-01    0.68938E+02
   354    0.23444E+04    0.21404E+02    0.57602E-01    0.66922E+02
   355    0.23238E+04    0.21510E+02    0.57808E-01    0.64890E+02
   356    0.23038E+04    0.21612E+02    0.58014E-01    0.62850E+02
   357    0.22843E+04    0.21711E+02    0.58221E-01    0.60788E+02
   358    0.22654E+04    0.21804E+02    0.58429E-01    0.58718E+02
   359    0.22469E+04    0.21893E+02    0.58637E-01    0.56627E+02
   360    0.22290E+04    0.21979E+02    0.58846E-01    0.54525E+02
   361    0.22116E+04    0.22061E+02    0.59055E-01    0.52408E+02
   362    0.21947E+04    0.22139E+02    0.59265E-01    0.50281E+02
   363    0.21784E+04    0.22213E+02    0.59475E-01    0.48144E+02
   364    0.21627E+04    0.22281E+02    0.59686E-01    0.45996E+02
   365    0.21474E+04    0.22346E+02    0.59898E-01    0.43842E+02
   366    0.21327E+04    0.22406E+02    0.60111E-01    0.41679E+02
   367    0.21186E+04    0.22461E+02    0.60324E-01    0.39510E+02
   368    0.21049E+04    0.22512E+02    0.60539E-01    0.37337E+02
   369    0.20919E+04    0.22560E+02    0.60754E-01    0.35157E+02
   370    0.20793E+04    0.22602E+02    0.60970E-01    0.32977E+02
   371    0.20673E+04    0.22639E+02    0.61187E-01    0.30793E+02
   372    0.20558E+04    0.22672E+02    0.61404E-01    0.28610E+02
   373    0.20448E+04    0.22701E+02    0.61623E-01    0.26424E+02
   374    0.20344E+04    0.22725E+02    0.61843E-01    0.24240E+02
   375    0.20245E+04    0.22745E+02    0.62063E-01    0.22058E+02
   376    0.20151E+04    0.22760E+02    0.62285E-01    0.19878E+02
   377    0.20063E+04    0.22770E+02    0.62508E-01    0.17703E+02
   378    0.19980E+04    0.22776E+02    0.62732E-01    0.15531E+02
   379    0.19902E+04    0.22777E+02    0.62956E-01    0.13365E+02
   380    0.19829E+04    0.22775E+02    0.63182E-01    0.11205E+02
   381    0.19762E+04    0.22765E+02    0.63410E-01    0.90530E+01
   382    0.19698E+04    0.22753E+02    0.63638E-01    0.69102E+01
   383    0.19641E+04    0.22735E+02    0.63867E-01    0.47754E+01
   384    0.19589E+04    0.22713E+02    0.64098E-01    0.26524E+01
   385    0.19541E+04    0.22687E+02    0.64330E-01    0.53986E+00
   386    0.19499E+04    0.22656E+02    0.64563E-01   -0.15597E+01
   387    0.19461E+04    0.22620E+02    0.64797E-01   -0.36462E+01
   388    0.19428E+04    0.22579E+02    0.65033E-01   -0.57180E+01
   389    0.19400E+04    0.22532E+02    0.65270E-01   -0.77750E+01
   390    0.19377E+04    0.22484E+02    0.65508E-01   -0.98150E+01
   391    0.19358E+04    0.22430E+02    0.65748E-01   -0.11839E+02
   392    0.19344E+04    0.22373E+02    0.65988E-01   -0.13845E+02
   393    0.19335E+04    0.22311E+02    0.66231E-01   -0.15833E+02
   394    0.19331E+04    0.22244E+02    0.66474E-01   -0.17800E+02
