#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.481653E-02   0.177888E+08   0.177859E+08  -0.626711E+04  -0.769561E+04   0.127500E+08   0.177458E+08   0.177883E+08   0.177458E+08  -0.411093E+00   0.881502E+07   0.881499E+07   0.183240E+01
   0.487035E-02   0.177601E+08   0.177572E+08  -0.574812E+04  -0.749859E+04   0.126820E+08   0.177168E+08   0.177596E+08   0.177168E+08  -0.410421E+00   0.880067E+07   0.880065E+07   0.184780E+01
   0.492476E-02   0.177311E+08   0.177282E+08  -0.598344E+04  -0.783777E+04   0.126137E+08   0.176875E+08   0.177307E+08   0.176875E+08  -0.409742E+00   0.878618E+07   0.878616E+07   0.186330E+01
   0.497979E-02   0.177019E+08   0.176989E+08  -0.685672E+04  -0.858100E+04   0.125451E+08   0.176579E+08   0.177014E+08   0.176579E+08  -0.409057E+00   0.877155E+07   0.877152E+07   0.187892E+01
   0.503543E-02   0.176723E+08   0.176692E+08  -0.807164E+04  -0.947992E+04   0.124762E+08   0.176280E+08   0.176718E+08   0.176280E+08  -0.408364E+00   0.875676E+07   0.875673E+07   0.189465E+01
   0.509169E-02   0.176424E+08   0.176393E+08  -0.923119E+04  -0.102414E+05   0.124071E+08   0.175978E+08   0.176419E+08   0.175978E+08  -0.407664E+00   0.874182E+07   0.874179E+07   0.191049E+01
   0.514858E-02   0.176123E+08   0.176091E+08  -0.995007E+04  -0.106150E+05   0.123377E+08   0.175673E+08   0.176118E+08   0.175673E+08  -0.406957E+00   0.872674E+07   0.872671E+07   0.192644E+01
   0.520610E-02   0.175818E+08   0.175785E+08  -0.996893E+04  -0.104706E+05   0.122680E+08   0.175365E+08   0.175813E+08   0.175365E+08  -0.406243E+00   0.871150E+07   0.871147E+07   0.194251E+01
   0.526427E-02   0.175510E+08   0.175477E+08  -0.923585E+04  -0.984110E+04   0.121980E+08   0.175054E+08   0.175505E+08   0.175054E+08  -0.405522E+00   0.869610E+07   0.869607E+07   0.195870E+01
   0.532309E-02   0.175199E+08   0.175165E+08  -0.792757E+04  -0.891380E+04   0.121278E+08   0.174739E+08   0.175194E+08   0.174739E+08  -0.404794E+00   0.868056E+07   0.868053E+07   0.197499E+01
   0.538256E-02   0.174885E+08   0.174850E+08  -0.639983E+04  -0.797155E+04   0.120574E+08   0.174422E+08   0.174880E+08   0.174422E+08  -0.404059E+00   0.866486E+07   0.866483E+07   0.199140E+01
   0.544270E-02   0.174568E+08   0.174533E+08  -0.507838E+04  -0.729932E+04   0.119866E+08   0.174101E+08   0.174562E+08   0.174101E+08  -0.403316E+00   0.864901E+07   0.864897E+07   0.200793E+01
   0.550352E-02   0.174248E+08   0.174212E+08  -0.432296E+04  -0.708679E+04   0.119156E+08   0.173777E+08   0.174242E+08   0.173777E+08  -0.402566E+00   0.863300E+07   0.863296E+07   0.202457E+01
   0.556501E-02   0.173924E+08   0.173887E+08  -0.430852E+04  -0.736085E+04   0.118444E+08   0.173451E+08   0.173918E+08   0.173451E+08  -0.401809E+00   0.861683E+07   0.861679E+07   0.204133E+01
   0.562719E-02   0.173598E+08   0.173560E+08  -0.496558E+04  -0.797386E+04   0.117729E+08   0.173121E+08   0.173592E+08   0.173121E+08  -0.401044E+00   0.860050E+07   0.860047E+07   0.205820E+01
   0.569006E-02   0.173268E+08   0.173229E+08  -0.600408E+04  -0.865518E+04   0.117011E+08   0.172787E+08   0.173262E+08   0.172787E+08  -0.400272E+00   0.858402E+07   0.858398E+07   0.207518E+01
   0.575363E-02   0.172935E+08   0.172895E+08  -0.701673E+04  -0.911053E+04   0.116291E+08   0.172451E+08   0.172928E+08   0.172451E+08  -0.399493E+00   0.856738E+07   0.856734E+07   0.209229E+01
   0.581792E-02   0.172598E+08   0.172558E+08  -0.762795E+04  -0.913374E+04   0.115568E+08   0.172111E+08   0.172592E+08   0.172111E+08  -0.398706E+00   0.855057E+07   0.855053E+07   0.210950E+01
   0.588292E-02   0.172259E+08   0.172218E+08  -0.763455E+04  -0.868825E+04   0.114842E+08   0.171768E+08   0.172252E+08   0.171768E+08  -0.397911E+00   0.853361E+07   0.853357E+07   0.212683E+01
   0.594865E-02   0.171916E+08   0.171874E+08  -0.708303E+04  -0.792394E+04   0.114114E+08   0.171422E+08   0.171909E+08   0.171422E+08  -0.397109E+00   0.851648E+07   0.851644E+07   0.214428E+01
   0.601512E-02   0.171570E+08   0.171527E+08  -0.624955E+04  -0.711870E+04   0.113383E+08   0.171072E+08   0.171563E+08   0.171072E+08  -0.396299E+00   0.849919E+07   0.849915E+07   0.216184E+01
   0.608233E-02   0.171220E+08   0.171177E+08  -0.552525E+04  -0.656492E+04   0.112650E+08   0.170720E+08   0.171213E+08   0.170720E+08  -0.395482E+00   0.848173E+07   0.848169E+07   0.217952E+01
   0.615028E-02   0.170868E+08   0.170823E+08  -0.524946E+04  -0.644571E+04   0.111915E+08   0.170363E+08   0.170860E+08   0.170363E+08  -0.394657E+00   0.846411E+07   0.846407E+07   0.219731E+01
   0.621900E-02   0.170511E+08   0.170466E+08  -0.555885E+04  -0.675427E+04   0.111177E+08   0.170004E+08   0.170504E+08   0.170004E+08  -0.393824E+00   0.844632E+07   0.844628E+07   0.221522E+01
   0.628849E-02   0.170152E+08   0.170105E+08  -0.631943E+04  -0.729446E+04   0.110437E+08   0.169641E+08   0.170144E+08   0.169641E+08  -0.392983E+00   0.842837E+07   0.842833E+07   0.223324E+01
