# L    TT    EE    TE    PP    TP
114 2.72933E+03 8.56908E-01 -2.85728E+01 3.48446E+06 4.72894E+03
115 2.75853E+03 8.66562E-01 -2.91086E+01 3.46442E+06 4.68284E+03
116 2.78772E+03 8.75791E-01 -2.96380E+01 3.44465E+06 4.63748E+03
117 2.81719E+03 8.84678E-01 -3.01600E+01 3.42488E+06 4.59277E+03
118 2.84684E+03 8.93334E-01 -3.06736E+01 3.40529E+06 4.54880E+03
119 2.87641E+03 9.01648E-01 -3.11789E+01 3.38580E+06 4.50538E+03
120 2.90615E+03 9.09464E-01 -3.16750E+01 3.36649E+06 4.46270E+03
121 2.93590E+03 9.17067E-01 -3.21609E+01 3.34728E+06 4.42057E+03
122 2.96574E+03 9.24190E-01 -3.26376E+01 3.32815E+06 4.37909E+03
123 2.99558E+03 9.30841E-01 -3.31042E+01 3.30922E+06 4.33817E+03
124 3.02551E+03 9.37215E-01 -3.35587E+01 3.29037E+06 4.29789E+03
125 3.05535E+03 9.43128E-01 -3.40012E+01 3.27162E+06 4.25816E+03
126 3.08537E+03 9.48763E-01 -3.44326E+01 3.25305E+06 4.21890E+03
127 3.11531E+03 9.53844E-01 -3.48530E+01 3.23457E+06 4.18029E+03
128 3.14533E+03 9.58556E-01 -3.52594E+01 3.21628E+06 4.14213E+03
129 3.17535E+03 9.62898E-01 -3.56521E+01 3.19808E+06 4.10453E+03
130 3.20538E+03 9.66593E-01 -3.60308E+01 3.17997E+06 4.06739E+03
131 3.23531E+03 9.70103E-01 -3.63967E+01 3.16205E+06 4.03072E+03
132 3.26543E+03 9.73060E-01 -3.67468E+01 3.14422E+06 3.99451E+03
133 3.29536E+03 9.75554E-01 -3.70840E+01 3.12658E+06 3.95875E+03
134 3.32538E+03 9.77679E-01 -3.74027E+01 3.10902E+06 3.92346E+03
135 3.35531E+03 9.79342E-01 -3.77066E+01 3.09156E+06 3.88864E+03
136 3.38515E+03 9.80543E-01 -3.79921E+01 3.07429E+06 3.85427E+03
137 3.41499E+03 9.81282E-01 -3.82628E+01 3.05711E+06 3.82027E+03
138 3.44483E+03 9.81559E-01 -3.85150E+01 3.04001E+06 3.78665E+03
139 3.47439E+03 9.81466E-01 -3.87487E+01 3.02311E+06 3.75348E+03
140 3.50396E+03 9.80912E-01 -3.89658E+01 3.00630E+06 3.72069E+03
141 3.53343E+03 9.79804E-01 -3.91635E+01 2.98967E+06 3.68835E+03
142 3.56290E+03 9.78325E-01 -3.93427E+01 2.97304E+06 3.65639E+03
143 3.59227E+03 9.76478E-01 -3.95025E+01 2.95669E+06 3.62479E+03
144 3.62137E+03 9.74076E-01 -3.96439E+01 2.94033E+06 3.59357E+03
145 3.65047E+03 9.71397E-01 -3.97658E+01 2.92417E+06 3.56271E+03
146 3.67958E+03 9.68163E-01 -3.98675E+01 2.90809E+06 3.53213E+03
147 3.70840E+03 9.64560E-01 -3.99478E+01 2.89211E+06 3.50202E+03
148 3.73704E+03 9.60496E-01 -4.00088E+01 2.87631E+06 3.47218E+03
149 3.76568E+03 9.56061E-01 -4.00485E+01 2.86061E+06 3.44271E+03
150 3.79404E+03 9.51257E-01 -4.00661E+01 2.84509E+06 3.41361E+03
151 3.82221E+03 9.46084E-01 -4.00624E+01 2.82966E+06 3.38478E+03
152 3.85020E+03 9.40356E-01 -4.00374E+01 2.81433E+06 3.35633E+03
153 3.87801E+03 9.34444E-01 -3.99885E+01 2.79908E+06 3.32815E+03
154 3.90554E+03 9.28070E-01 -3.99183E+01 2.78393E+06 3.30025E+03
155 3.93298E+03 9.21446E-01 -3.98250E+01 2.76897E+06 3.27263E+03
156 3.96005E+03 9.14489E-01 -3.97095E+01 2.75409E+06 3.24538E+03
157 3.98702E+03 9.07201E-01 -3.95709E+01 2.73940E+06 3.21840E+03
158 4.01372E+03 8.99671E-01 -3.94083E+01 2.72471E+06 3.19171E+03
159 4.04014E+03 8.91745E-01 -3.92226E+01 2.71021E+06 3.16528E+03
160 4.06629E+03 8.83569E-01 -3.90129E+01 2.69580E+06 3.13923E+03
161 4.09225E+03 8.75227E-01 -3.87801E+01 2.68148E+06 3.11337E+03
162 4.11793E+03 8.66562E-01 -3.85233E+01 2.66735E+06 3.08768E+03
163 4.14333E+03 8.57647E-01 -3.82425E+01 2.65321E+06 3.06237E+03
164 4.16846E+03 8.48566E-01 -3.79385E+01 2.63926E+06 3.03734E+03
165 4.19331E+03 8.39244E-01 -3.76087E+01 2.62540E+06 3.01248E+03
166 4.21789E+03 8.29821E-01 -3.72558E+01 2.61164E+06 2.98782E+03
167 4.24227E+03 8.20084E-01 -3.68789E+01 2.59806E+06 2.96352E+03
168 4.26611E+03 8.10384E-01 -3.64780E+01 2.58448E+06 2.93941E+03
169 4.28976E+03 8.00453E-01 -3.60512E+01 2.57108E+06 2.91548E+03
170 4.31304E+03 7.90485E-01 -3.56003E+01 2.55778E+06 2.89183E+03
171 4.33586E+03 7.80489E-01 -3.51236E+01 2.54457E+06 2.86837E+03
172 4.35840E+03 7.70401E-01 -3.46229E+01 2.53145E+06 2.84518E+03
173 4.38039E+03 7.60212E-01 -3.40982E+01 2.51843E+06 2.82218E+03
174 4.40219E+03 7.50197E-01 -3.35485E+01 2.50549E+06 2.79936E+03
175 4.42362E+03 7.40091E-01 -3.29748E+01 2.49274E+06 2.77682E+03
176 4.44450E+03 7.30086E-01 -3.23753E+01 2.47999E+06 2.75446E+03
177 4.46501E+03 7.20136E-01 -3.17526E+01 2.46734E+06 2.73229E+03
178 4.48515E+03 7.10427E-01 -3.11050E+01 2.45487E+06 2.71030E+03
179 4.50482E+03 7.00699E-01 -3.04325E+01 2.44249E+06 2.68850E+03
180 4.52422E+03 6.91147E-01 -2.97368E+01 2.43011E+06 2.66698E+03
181 4.54307E+03 6.81779E-01 -2.90181E+01 2.41791E+06 2.64554E+03
182 4.56155E+03 6.72670E-01 -2.82744E+01 2.40572E+06 2.62439E+03
183 4.57956E+03 6.63737E-01 -2.75077E+01 2.39371E+06 2.60332E+03
184 4.59721E+03 6.55062E-01 -2.67160E+01 2.38179E+06 2.58254E+03
185 4.61439E+03 6.46776E-01 -2.59039E+01 2.36988E+06 2.56185E+03
186 4.63083E+03 6.38748E-01 -2.50660E+01 2.35814E+06 2.54143E+03
187 4.64718E+03 6.31117E-01 -2.42059E+01 2.34650E+06 2.52110E+03
188 4.66298E+03 6.23865E-01 -2.33237E+01 2.33486E+06 2.50097E+03
189 4.67822E+03 6.17019E-01 -2.24183E+01 2.32341E+06 2.48110E+03
190 4.69328E+03 6.10645E-01 -2.14917E+01 2.31195E+06 2.46124E+03
191 4.70760E+03 6.04742E-01 -2.05421E+01 2.30068E+06 2.44166E+03
192 4.72155E+03 5.99356E-01 -1.95711E+01 2.28941E+06 2.42226E+03
193 4.73485E+03 5.94506E-01 -1.85789E+01 2.27823E+06 2.40295E+03
194 4.74788E+03 5.90229E-01 -1.75646E+01 2.26724E+06 2.38383E+03
195 4.76035E+03 5.86570E-01 -1.65308E+01 2.25625E+06 2.36489E+03
196 4.77227E+03 5.83549E-01 -1.54758E+01 2.24534E+06 2.34613E+03
197 4.78372E+03 5.81212E-01 -1.44014E+01 2.23454E+06 2.32747E+03
198 4.79472E+03 5.79577E-01 -1.33076E+01 2.22382E+06 2.30900E+03
199 4.80525E+03 5.78690E-01 -1.21935E+01 2.21320E+06 2.29061E+03
200 4.81523E+03 5.78561E-01 -1.10609E+01 2.20257E+06 2.27241E+03
201 4.82465E+03 5.79263E-01 -9.90982E+00 2.19213E+06 2.25440E+03
202 4.83361E+03 5.80796E-01 -8.74026E+00 2.18169E+06 2.23657E+03
203 4.84202E+03 5.83208E-01 -7.55232E+00 2.17144E+06 2.21883E+03
204 4.84987E+03 5.86524E-01 -6.34858E+00 2.16118E+06 2.20119E+03
205 4.85717E+03 5.90783E-01 -5.12711E+00 2.15102E+06 2.18373E+03
206 4.86382E+03 5.96021E-01 -3.88901E+00 2.14095E+06 2.16645E+03
