#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.759591E-02   0.363431E+06   0.359451E+06   0.265937E+05   0.272089E+05   0.167263E+06   0.357894E+06   0.362906E+06   0.358083E+06  -0.519605E+00   0.358779E+06   0.358216E+06   0.104351E+03
   0.768078E-02   0.362714E+06   0.358650E+06   0.265632E+05   0.268784E+05   0.165384E+06   0.357137E+06   0.362179E+06   0.357326E+06  -0.518484E+00   0.358022E+06   0.357449E+06   0.105215E+03
   0.776659E-02   0.361990E+06   0.357840E+06   0.264982E+05   0.265148E+05   0.163528E+06   0.356372E+06   0.361442E+06   0.356561E+06  -0.517352E+00   0.357258E+06   0.356673E+06   0.106084E+03
   0.785337E-02   0.361257E+06   0.357020E+06   0.263941E+05   0.261164E+05   0.161694E+06   0.355599E+06   0.360698E+06   0.355787E+06  -0.516211E+00   0.356485E+06   0.355889E+06   0.106957E+03
   0.794112E-02   0.360515E+06   0.356190E+06   0.262472E+05   0.256823E+05   0.159883E+06   0.354819E+06   0.359945E+06   0.355006E+06  -0.515060E+00   0.355705E+06   0.355097E+06   0.107835E+03
   0.802984E-02   0.359766E+06   0.355350E+06   0.260539E+05   0.252119E+05   0.158095E+06   0.354032E+06   0.359184E+06   0.354217E+06  -0.513897E+00   0.354917E+06   0.354298E+06   0.108718E+03
   0.811956E-02   0.359008E+06   0.354500E+06   0.258117E+05   0.247053E+05   0.156328E+06   0.353236E+06   0.358414E+06   0.353420E+06  -0.512725E+00   0.354122E+06   0.353490E+06   0.109605E+03
   0.821028E-02   0.358243E+06   0.353640E+06   0.255184E+05   0.241633E+05   0.154583E+06   0.352433E+06   0.357636E+06   0.352615E+06  -0.511542E+00   0.353318E+06   0.352674E+06   0.110496E+03
   0.830201E-02   0.357468E+06   0.352770E+06   0.251725E+05   0.235871E+05   0.152860E+06   0.351623E+06   0.356849E+06   0.351802E+06  -0.510348E+00   0.352507E+06   0.351851E+06   0.111392E+03
   0.839477E-02   0.356686E+06   0.351890E+06   0.247733E+05   0.229786E+05   0.151158E+06   0.350804E+06   0.356054E+06   0.350981E+06  -0.509143E+00   0.351688E+06   0.351019E+06   0.112293E+03
   0.848857E-02   0.355895E+06   0.351000E+06   0.243209E+05   0.223403E+05   0.149476E+06   0.349978E+06   0.355250E+06   0.350151E+06  -0.507927E+00   0.350862E+06   0.350180E+06   0.113197E+03
   0.858341E-02   0.355096E+06   0.350099E+06   0.238158E+05   0.216751E+05   0.147815E+06   0.349144E+06   0.354437E+06   0.349313E+06  -0.506701E+00   0.350027E+06   0.349332E+06   0.114106E+03
   0.867932E-02   0.354289E+06   0.349188E+06   0.232596E+05   0.209866E+05   0.146173E+06   0.348302E+06   0.353616E+06   0.348467E+06  -0.505463E+00   0.349185E+06   0.348476E+06   0.115019E+03
   0.877629E-02   0.353473E+06   0.348267E+06   0.226544E+05   0.202786E+05   0.144550E+06   0.347452E+06   0.352787E+06   0.347613E+06  -0.504213E+00   0.348335E+06   0.347612E+06   0.115936E+03
   0.887435E-02   0.352649E+06   0.347336E+06   0.220031E+05   0.195555E+05   0.142945E+06   0.346593E+06   0.351948E+06   0.346750E+06  -0.502953E+00   0.347477E+06   0.346741E+06   0.116857E+03
   0.897350E-02   0.351816E+06   0.346393E+06   0.213093E+05   0.188221E+05   0.141358E+06   0.345727E+06   0.351101E+06   0.345879E+06  -0.501680E+00   0.346611E+06   0.345861E+06   0.117782E+03
   0.907376E-02   0.350975E+06   0.345441E+06   0.205774E+05   0.180833E+05   0.139787E+06   0.344853E+06   0.350245E+06   0.345000E+06  -0.500397E+00   0.345737E+06   0.344972E+06   0.118711E+03
   0.917515E-02   0.350126E+06   0.344477E+06   0.198122E+05   0.173444E+05   0.138233E+06   0.343971E+06   0.349381E+06   0.344112E+06  -0.499101E+00   0.344855E+06   0.344076E+06   0.119643E+03
