#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    78    0.22714E+04   -0.11118E+02    0.71298E-05   -0.11118E+02    0.54405E+00   -0.19617E-07    0.71298E-05   -0.19617E-07    0.22962E-10
    79    0.22994E+04   -0.11750E+02    0.69536E-05   -0.11750E+02    0.56204E+00   -0.19458E-07    0.69536E-05   -0.19458E-07    0.22279E-10
    80    0.23277E+04   -0.12393E+02    0.67836E-05   -0.12393E+02    0.58018E+00   -0.19299E-07    0.67836E-05   -0.19299E-07    0.21623E-10
    81    0.23562E+04   -0.13047E+02    0.66196E-05   -0.13047E+02    0.59843E+00   -0.19140E-07    0.66196E-05   -0.19140E-07    0.20992E-10
    82    0.23851E+04   -0.13713E+02    0.64612E-05   -0.13713E+02    0.61679E+00   -0.18981E-07    0.64612E-05   -0.18981E-07    0.20384E-10
    83    0.24143E+04   -0.14389E+02    0.63083E-05   -0.14389E+02    0.63525E+00   -0.18822E-07    0.63083E-05   -0.18822E-07    0.19800E-10
    84    0.24437E+04   -0.15074E+02    0.61606E-05   -0.15074E+02    0.65379E+00   -0.18664E-07    0.61606E-05   -0.18664E-07    0.19237E-10
    85    0.24734E+04   -0.15769E+02    0.60178E-05   -0.15769E+02    0.67239E+00   -0.18505E-07    0.60178E-05   -0.18505E-07    0.18695E-10
    86    0.25033E+04   -0.16472E+02    0.58799E-05   -0.16472E+02    0.69105E+00   -0.18347E-07    0.58799E-05   -0.18347E-07    0.18173E-10
    87    0.25337E+04   -0.17184E+02    0.57464E-05   -0.17184E+02    0.70975E+00   -0.18189E-07    0.57464E-05   -0.18189E-07    0.17670E-10
    88    0.25641E+04   -0.17903E+02    0.56174E-05   -0.17903E+02    0.72849E+00   -0.18031E-07    0.56174E-05   -0.18031E-07    0.17186E-10
    89    0.25950E+04   -0.18631E+02    0.54924E-05   -0.18631E+02    0.74725E+00   -0.17873E-07    0.54924E-05   -0.17873E-07    0.16718E-10
    90    0.26261E+04   -0.19365E+02    0.53713E-05   -0.19365E+02    0.76599E+00   -0.17716E-07    0.53713E-05   -0.17716E-07    0.16267E-10
    91    0.26574E+04   -0.20104E+02    0.52540E-05   -0.20104E+02    0.78470E+00   -0.17558E-07    0.52540E-05   -0.17558E-07    0.15832E-10
    92    0.26891E+04   -0.20849E+02    0.51403E-05   -0.20849E+02    0.80335E+00   -0.17401E-07    0.51403E-05   -0.17401E-07    0.15412E-10
    93    0.27210E+04   -0.21599E+02    0.50301E-05   -0.21599E+02    0.82195E+00   -0.17243E-07    0.50301E-05   -0.17243E-07    0.15006E-10
