#    L    TT             EE             BB             TE             PP             TP             EP          
    96    0.28536E+04    0.83412E+00    0.00000E+00   -0.23579E+02    0.11151E-06    0.44149E-03   -0.15334E-05
    97    0.28875E+04    0.85152E+00    0.00000E+00   -0.24326E+02    0.11087E-06    0.43669E-03   -0.15347E-05
    98    0.29215E+04    0.86879E+00    0.00000E+00   -0.25075E+02    0.11023E-06    0.43197E-03   -0.15358E-05
    99    0.29557E+04    0.88588E+00    0.00000E+00   -0.25827E+02    0.10959E-06    0.42733E-03   -0.15365E-05
   100    0.29902E+04    0.90280E+00    0.00000E+00   -0.26577E+02    0.10896E-06    0.42278E-03   -0.15370E-05
   101    0.30248E+04    0.91959E+00    0.00000E+00   -0.27329E+02    0.10833E-06    0.41830E-03   -0.15372E-05
   102    0.30600E+04    0.93611E+00    0.00000E+00   -0.28081E+02    0.10771E-06    0.41390E-03   -0.15371E-05
   103    0.30952E+04    0.95243E+00    0.00000E+00   -0.28833E+02    0.10709E-06    0.40958E-03   -0.15367E-05
   104    0.31306E+04    0.96855E+00    0.00000E+00   -0.29581E+02    0.10647E-06    0.40533E-03   -0.15361E-05
   105    0.31662E+04    0.98438E+00    0.00000E+00   -0.30329E+02    0.10585E-06    0.40115E-03   -0.15352E-05
   106    0.32020E+04    0.10000E+01    0.00000E+00   -0.31073E+02    0.10524E-06    0.39705E-03   -0.15341E-05
   107    0.32377E+04    0.10153E+01    0.00000E+00   -0.31814E+02    0.10463E-06    0.39301E-03   -0.15327E-05
   108    0.32739E+04    0.10302E+01    0.00000E+00   -0.32551E+02    0.10403E-06    0.38904E-03   -0.15310E-05
   109    0.33102E+04    0.10449E+01    0.00000E+00   -0.33284E+02    0.10343E-06    0.38514E-03   -0.15291E-05
   110    0.33466E+04    0.10591E+01    0.00000E+00   -0.34009E+02    0.10283E-06    0.38130E-03   -0.15269E-05
   111    0.33832E+04    0.10730E+01    0.00000E+00   -0.34730E+02    0.10223E-06    0.37752E-03   -0.15244E-05
   112    0.34200E+04    0.10866E+01    0.00000E+00   -0.35445E+02    0.10164E-06    0.37380E-03   -0.15217E-05
   113    0.34570E+04    0.10998E+01    0.00000E+00   -0.36153E+02    0.10106E-06    0.37014E-03   -0.15188E-05
   114    0.34941E+04    0.11125E+01    0.00000E+00   -0.36852E+02    0.10047E-06    0.36653E-03   -0.15156E-05
   115    0.35314E+04    0.11249E+01    0.00000E+00   -0.37542E+02    0.99895E-07    0.36298E-03   -0.15121E-05
   116    0.35688E+04    0.11368E+01    0.00000E+00   -0.38224E+02    0.99320E-07    0.35949E-03   -0.15084E-05
   117    0.36065E+04    0.11482E+01    0.00000E+00   -0.38895E+02    0.98749E-07    0.35604E-03   -0.15044E-05
   118    0.36443E+04    0.11594E+01    0.00000E+00   -0.39557E+02    0.98181E-07    0.35265E-03   -0.15002E-05
   119    0.36821E+04    0.11700E+01    0.00000E+00   -0.40207E+02    0.97618E-07    0.34931E-03   -0.14958E-05
   120    0.37202E+04    0.11800E+01    0.00000E+00   -0.40844E+02    0.97058E-07    0.34602E-03   -0.14911E-05
   121    0.37582E+04    0.11898E+01    0.00000E+00   -0.41470E+02    0.96502E-07    0.34278E-03   -0.14862E-05
   122    0.37963E+04    0.11989E+01    0.00000E+00   -0.42083E+02    0.95950E-07    0.33958E-03   -0.14810E-05
   123    0.38344E+04    0.12074E+01    0.00000E+00   -0.42682E+02    0.95402E-07    0.33643E-03   -0.14756E-05
   124    0.38727E+04    0.12155E+01    0.00000E+00   -0.43266E+02    0.94858E-07    0.33332E-03   -0.14699E-05
   125    0.39109E+04    0.12231E+01    0.00000E+00   -0.43835E+02    0.94317E-07    0.33025E-03   -0.14641E-05
   126    0.39493E+04    0.12302E+01    0.00000E+00   -0.44389E+02    0.93781E-07    0.32723E-03   -0.14579E-05
   127    0.39876E+04    0.12367E+01    0.00000E+00   -0.44928E+02    0.93248E-07    0.32425E-03   -0.14516E-05
   128    0.40259E+04    0.12427E+01    0.00000E+00   -0.45449E+02    0.92719E-07    0.32131E-03   -0.14450E-05
   129    0.40643E+04    0.12481E+01    0.00000E+00   -0.45953E+02    0.92194E-07    0.31841E-03   -0.14382E-05
   130    0.41027E+04    0.12528E+01    0.00000E+00   -0.46439E+02    0.91672E-07    0.31554E-03   -0.14312E-05
   131    0.41410E+04    0.12571E+01    0.00000E+00   -0.46907E+02    0.91155E-07    0.31272E-03   -0.14240E-05
   132    0.41794E+04    0.12608E+01    0.00000E+00   -0.47355E+02    0.90641E-07    0.30992E-03   -0.14165E-05
   133    0.42178E+04    0.12639E+01    0.00000E+00   -0.47785E+02    0.90131E-07    0.30717E-03   -0.14088E-05
   134    0.42561E+04    0.12665E+01    0.00000E+00   -0.48193E+02    0.89625E-07    0.30444E-03   -0.14009E-05
   135    0.42944E+04    0.12685E+01    0.00000E+00   -0.48581E+02    0.89123E-07    0.30175E-03   -0.13928E-05
   136    0.43326E+04    0.12698E+01    0.00000E+00   -0.48946E+02    0.88624E-07    0.29910E-03   -0.13844E-05
   137    0.43707E+04    0.12706E+01    0.00000E+00   -0.49289E+02    0.88130E-07    0.29647E-03   -0.13759E-05
   138    0.44087E+04    0.12708E+01    0.00000E+00   -0.49610E+02    0.87639E-07    0.29388E-03   -0.13672E-05
   139    0.44465E+04    0.12706E+01    0.00000E+00   -0.49908E+02    0.87151E-07    0.29132E-03   -0.13582E-05
   140    0.44844E+04    0.12696E+01    0.00000E+00   -0.50183E+02    0.86668E-07    0.28879E-03   -0.13490E-05
   141    0.45220E+04    0.12681E+01    0.00000E+00   -0.50434E+02    0.86188E-07    0.28629E-03   -0.13397E-05
   142    0.45596E+04    0.12660E+01    0.00000E+00   -0.50660E+02    0.85712E-07    0.28382E-03   -0.13301E-05
   143    0.45971E+04    0.12633E+01    0.00000E+00   -0.50862E+02    0.85239E-07    0.28138E-03   -0.13203E-05
   144    0.46344E+04    0.12601E+01    0.00000E+00   -0.51039E+02    0.84770E-07    0.27897E-03   -0.13104E-05
   145    0.46715E+04    0.12564E+01    0.00000E+00   -0.51191E+02    0.84305E-07    0.27659E-03   -0.13002E-05
   146    0.47086E+04    0.12520E+01    0.00000E+00   -0.51316E+02    0.83843E-07    0.27423E-03   -0.12899E-05
   147    0.47454E+04    0.12472E+01    0.00000E+00   -0.51415E+02    0.83385E-07    0.27190E-03   -0.12794E-05
   148    0.47820E+04    0.12417E+01    0.00000E+00   -0.51488E+02    0.82930E-07    0.26960E-03   -0.12686E-05
   149    0.48185E+04    0.12358E+01    0.00000E+00   -0.51533E+02    0.82479E-07    0.26732E-03   -0.12577E-05
   150    0.48547E+04    0.12294E+01    0.00000E+00   -0.51549E+02    0.82032E-07    0.26507E-03   -0.12467E-05
   151    0.48907E+04    0.12225E+01    0.00000E+00   -0.51539E+02    0.81588E-07    0.26285E-03   -0.12354E-05
   152    0.49264E+04    0.12150E+01    0.00000E+00   -0.51500E+02    0.81147E-07    0.26064E-03   -0.12240E-05
   153    0.49619E+04    0.12070E+01    0.00000E+00   -0.51431E+02    0.80710E-07    0.25847E-03   -0.12124E-05
   154    0.49971E+04    0.11987E+01    0.00000E+00   -0.51334E+02    0.80276E-07    0.25631E-03   -0.12006E-05
   155    0.50320E+04    0.11899E+01    0.00000E+00   -0.51207E+02    0.79846E-07    0.25418E-03   -0.11886E-05
   156    0.50665E+04    0.11807E+01    0.00000E+00   -0.51052E+02    0.79419E-07    0.25207E-03   -0.11765E-05
   157    0.51009E+04    0.11711E+01    0.00000E+00   -0.50866E+02    0.78996E-07    0.24999E-03   -0.11642E-05
   158    0.51350E+04    0.11611E+01    0.00000E+00   -0.50650E+02    0.78575E-07    0.24793E-03   -0.11518E-05
   159    0.51686E+04    0.11507E+01    0.00000E+00   -0.50404E+02    0.78158E-07    0.24588E-03   -0.11392E-05
   160    0.52020E+04    0.11399E+01    0.00000E+00   -0.50127E+02    0.77745E-07    0.24386E-03   -0.11264E-05
   161    0.52351E+04    0.11289E+01    0.00000E+00   -0.49820E+02    0.77334E-07    0.24186E-03   -0.11135E-05
   162    0.52677E+04    0.11175E+01    0.00000E+00   -0.49482E+02    0.76927E-07    0.23988E-03   -0.11005E-05
   163    0.53002E+04    0.11059E+01    0.00000E+00   -0.49113E+02    0.76523E-07    0.23792E-03   -0.10873E-05
   164    0.53321E+04    0.10939E+01    0.00000E+00   -0.48714E+02    0.76123E-07    0.23598E-03   -0.10739E-05
   165    0.53638E+04    0.10817E+01    0.00000E+00   -0.48282E+02    0.75725E-07    0.23406E-03   -0.10604E-05
   166    0.53950E+04    0.10693E+01    0.00000E+00   -0.47819E+02    0.75331E-07    0.23216E-03   -0.10468E-05
   167    0.54260E+04    0.10566E+01    0.00000E+00   -0.47326E+02    0.74940E-07    0.23028E-03   -0.10330E-05
   168    0.54564E+04    0.10439E+01    0.00000E+00   -0.46801E+02    0.74551E-07    0.22841E-03   -0.10191E-05
   169    0.54863E+04    0.10309E+01    0.00000E+00   -0.46243E+02    0.74166E-07    0.22656E-03   -0.10050E-05
   170    0.55159E+04    0.10179E+01    0.00000E+00   -0.45654E+02    0.73784E-07    0.22473E-03   -0.99086E-06
   171    0.55450E+04    0.10048E+01    0.00000E+00   -0.45033E+02    0.73405E-07    0.22292E-03   -0.97655E-06
   172    0.55735E+04    0.99160E+00    0.00000E+00   -0.44380E+02    0.73029E-07    0.22112E-03   -0.96212E-06
   173    0.56016E+04    0.97831E+00    0.00000E+00   -0.43695E+02    0.72656E-07    0.21934E-03   -0.94757E-06
   174    0.56292E+04    0.96522E+00    0.00000E+00   -0.42980E+02    0.72286E-07    0.21758E-03   -0.93289E-06
   175    0.56563E+04    0.95205E+00    0.00000E+00   -0.42232E+02    0.71919E-07    0.21583E-03   -0.91809E-06
   176    0.56828E+04    0.93901E+00    0.00000E+00   -0.41452E+02    0.71554E-07    0.21410E-03   -0.90318E-06
   177    0.57089E+04    0.92604E+00    0.00000E+00   -0.40642E+02    0.71193E-07    0.21238E-03   -0.88816E-06
   178    0.57344E+04    0.91338E+00    0.00000E+00   -0.39801E+02    0.70834E-07    0.21068E-03   -0.87302E-06
   179    0.57593E+04    0.90072E+00    0.00000E+00   -0.38927E+02    0.70478E-07    0.20900E-03   -0.85778E-06
   180    0.57839E+04    0.88831E+00    0.00000E+00   -0.38023E+02    0.70124E-07    0.20733E-03   -0.84243E-06
   181    0.58078E+04    0.87614E+00    0.00000E+00   -0.37089E+02    0.69774E-07    0.20567E-03   -0.82697E-06
   182    0.58312E+04    0.86429E+00    0.00000E+00   -0.36124E+02    0.69426E-07    0.20403E-03   -0.81142E-06
   183    0.58539E+04    0.85271E+00    0.00000E+00   -0.35128E+02    0.69081E-07    0.20241E-03   -0.79577E-06
   184    0.58762E+04    0.84146E+00    0.00000E+00   -0.34102E+02    0.68738E-07    0.20079E-03   -0.78002E-06
   185    0.58979E+04    0.83070E+00    0.00000E+00   -0.33047E+02    0.68398E-07    0.19920E-03   -0.76419E-06
   186    0.59187E+04    0.82031E+00    0.00000E+00   -0.31961E+02    0.68061E-07    0.19761E-03   -0.74826E-06
   187    0.59393E+04    0.81043E+00    0.00000E+00   -0.30845E+02    0.67726E-07    0.19604E-03   -0.73224E-06
   188    0.59592E+04    0.80106E+00    0.00000E+00   -0.29702E+02    0.67394E-07    0.19448E-03   -0.71614E-06
   189    0.59784E+04    0.79222E+00    0.00000E+00   -0.28528E+02    0.67065E-07    0.19294E-03   -0.69996E-06
   190    0.59974E+04    0.78400E+00    0.00000E+00   -0.27328E+02    0.66738E-07    0.19141E-03   -0.68370E-06
   191    0.60154E+04    0.77641E+00    0.00000E+00   -0.26098E+02    0.66413E-07    0.18989E-03   -0.66736E-06
   192    0.60328E+04    0.76949E+00    0.00000E+00   -0.24840E+02    0.66091E-07    0.18839E-03   -0.65095E-06
   193    0.60496E+04    0.76329E+00    0.00000E+00   -0.23556E+02    0.65772E-07    0.18689E-03   -0.63447E-06
   194    0.60659E+04    0.75784E+00    0.00000E+00   -0.22244E+02    0.65455E-07    0.18541E-03   -0.61792E-06
   195    0.60815E+04    0.75319E+00    0.00000E+00   -0.20906E+02    0.65140E-07    0.18395E-03   -0.60131E-06
   196    0.60963E+04    0.74939E+00    0.00000E+00   -0.19541E+02    0.64828E-07    0.18249E-03   -0.58463E-06
   197    0.61106E+04    0.74648E+00    0.00000E+00   -0.18152E+02    0.64518E-07    0.18105E-03   -0.56790E-06
   198    0.61243E+04    0.74450E+00    0.00000E+00   -0.16737E+02    0.64211E-07    0.17962E-03   -0.55111E-06
   199    0.61373E+04    0.74348E+00    0.00000E+00   -0.15297E+02    0.63906E-07    0.17820E-03   -0.53426E-06
   200    0.61497E+04    0.74348E+00    0.00000E+00   -0.13834E+02    0.63603E-07    0.17679E-03   -0.51736E-06
   201    0.61614E+04    0.74455E+00    0.00000E+00   -0.12346E+02    0.63303E-07    0.17539E-03   -0.50041E-06
   202    0.61724E+04    0.74671E+00    0.00000E+00   -0.10835E+02    0.63005E-07    0.17401E-03   -0.48342E-06
   203    0.61828E+04    0.75001E+00    0.00000E+00   -0.93005E+01    0.62709E-07    0.17264E-03   -0.46638E-06
   204    0.61923E+04    0.75450E+00    0.00000E+00   -0.77459E+01    0.62416E-07    0.17127E-03   -0.44930E-06
   205    0.62012E+04    0.76022E+00    0.00000E+00   -0.61688E+01    0.62125E-07    0.16992E-03   -0.43219E-06
   206    0.62093E+04    0.76722E+00    0.00000E+00   -0.45707E+01    0.61836E-07    0.16858E-03   -0.41503E-06
   207    0.62168E+04    0.77551E+00    0.00000E+00   -0.29522E+01    0.61549E-07    0.16725E-03   -0.39784E-06
   208    0.62235E+04    0.78517E+00    0.00000E+00   -0.13140E+01    0.61264E-07    0.16593E-03   -0.38062E-06
   209    0.62294E+04    0.79622E+00    0.00000E+00    0.34353E+00    0.60982E-07    0.16463E-03   -0.36338E-06
   210    0.62347E+04    0.80872E+00    0.00000E+00    0.20193E+01    0.60701E-07    0.16333E-03   -0.34610E-06
