#           k/h    P           
    0.94845E+01    0.34241E-02
    0.96761E+01    0.32504E-02
    0.98716E+01    0.30853E-02
    0.10071E+02    0.29286E-02
    0.10274E+02    0.27797E-02
    0.10482E+02    0.26383E-02
    0.10694E+02    0.25040E-02
    0.10910E+02    0.23764E-02
    0.11130E+02    0.22553E-02
    0.11355E+02    0.21403E-02
    0.11584E+02    0.20311E-02
    0.11818E+02    0.19274E-02
    0.12057E+02    0.18289E-02
    0.12301E+02    0.17354E-02
    0.12549E+02    0.16467E-02
    0.12803E+02    0.15624E-02
    0.13061E+02    0.14824E-02
    0.13325E+02    0.14064E-02
    0.13594E+02    0.13343E-02
    0.13869E+02    0.12659E-02
    0.14149E+02    0.12009E-02
    0.14435E+02    0.11392E-02
    0.14727E+02    0.10807E-02
    0.15024E+02    0.10252E-02
    0.15328E+02    0.97242E-03
    0.15637E+02    0.92238E-03
    0.15953E+02    0.87488E-03
    0.16275E+02    0.82981E-03
    0.16604E+02    0.78703E-03
    0.16940E+02    0.74644E-03
    0.17282E+02    0.70792E-03
    0.17631E+02    0.67138E-03
    0.17987E+02    0.63669E-03
    0.18351E+02    0.60379E-03
    0.18721E+02    0.57257E-03
    0.19099E+02    0.54295E-03
    0.19485E+02    0.51484E-03
    0.19879E+02    0.48818E-03
    0.20280E+02    0.46289E-03
    0.20690E+02    0.43889E-03
    0.21108E+02    0.41613E-03
    0.21535E+02    0.39453E-03
    0.21970E+02    0.37405E-03
    0.22413E+02    0.35462E-03
    0.22866E+02    0.33619E-03
    0.23328E+02    0.31872E-03
    0.23799E+02    0.30214E-03
    0.24280E+02    0.28641E-03
    0.24771E+02    0.27150E-03
    0.25271E+02    0.25736E-03
    0.25782E+02    0.24395E-03
    0.26302E+02    0.23123E-03
    0.26834E+02    0.21917E-03
    0.27376E+02    0.20773E-03
    0.27929E+02    0.19688E-03
    0.28493E+02    0.18660E-03
    0.29069E+02    0.17685E-03
    0.29656E+02    0.16760E-03
    0.30255E+02    0.15883E-03
    0.30866E+02    0.15052E-03
    0.31490E+02    0.14264E-03
    0.32126E+02    0.13517E-03
    0.32775E+02    0.12809E-03
    0.33437E+02    0.12137E-03
    0.34112E+02    0.11501E-03
