#           k/h    P           
    0.69229E-01    0.65363E+01
    0.70627E-01    0.62997E+01
    0.72054E-01    0.60527E+01
    0.73510E-01    0.57978E+01
    0.74994E-01    0.55380E+01
    0.76509E-01    0.52768E+01
    0.78055E-01    0.50176E+01
    0.79632E-01    0.47640E+01
    0.81241E-01    0.45195E+01
    0.82882E-01    0.42872E+01
    0.84556E-01    0.40702E+01
    0.86264E-01    0.38706E+01
    0.88007E-01    0.36905E+01
    0.89785E-01    0.35310E+01
    0.91598E-01    0.33928E+01
    0.93449E-01    0.32756E+01
    0.95337E-01    0.31788E+01
    0.97263E-01    0.31009E+01
    0.99227E-01    0.30398E+01
    0.10123E+00    0.29927E+01
    0.10328E+00    0.29562E+01
    0.10536E+00    0.29267E+01
    0.10749E+00    0.28998E+01
    0.10966E+00    0.28712E+01
    0.11188E+00    0.28368E+01
    0.11414E+00    0.27928E+01
    0.11644E+00    0.27361E+01
    0.11880E+00    0.26647E+01
    0.12120E+00    0.25781E+01
    0.12365E+00    0.24772E+01
    0.12614E+00    0.23641E+01
    0.12869E+00    0.22423E+01
    0.13129E+00    0.21162E+01
    0.13394E+00    0.19905E+01
    0.13665E+00    0.18701E+01
    0.13941E+00    0.17591E+01
    0.14223E+00    0.16609E+01
    0.14510E+00    0.15775E+01
    0.14803E+00    0.15100E+01
    0.15102E+00    0.14579E+01
    0.15407E+00    0.14194E+01
    0.15718E+00    0.13919E+01
    0.16036E+00    0.13716E+01
    0.16360E+00    0.13543E+01
    0.16690E+00    0.13354E+01
    0.17028E+00    0.13110E+01
    0.17371E+00    0.12782E+01
    0.17722E+00    0.12357E+01
    0.18080E+00    0.11837E+01
    0.18446E+00    0.11245E+01
    0.18818E+00    0.10615E+01
    0.19198E+00    0.99866E+00
    0.19586E+00    0.93996E+00
    0.19982E+00    0.88847E+00
    0.20386E+00    0.84602E+00
    0.20797E+00    0.81291E+00
    0.21218E+00    0.78801E+00
    0.21646E+00    0.76895E+00
    0.22083E+00    0.75261E+00
    0.22530E+00    0.73573E+00
    0.22985E+00    0.71559E+00
    0.23449E+00    0.69067E+00
    0.23923E+00    0.66099E+00
    0.24406E+00    0.62804E+00
    0.24899E+00    0.59424E+00
    0.25402E+00    0.56221E+00
    0.25915E+00    0.53402E+00
    0.26439E+00    0.51067E+00
    0.26973E+00    0.49192E+00
    0.27518E+00    0.47644E+00
    0.28074E+00    0.46231E+00
    0.28641E+00    0.44762E+00
